log10(Mass)+10    log10(VelDisp)   number_of_galaxy
11.479314 2.192759 72.000000
11.382004 2.197170 71.000000
11.417460 2.161633 62.000000
11.392940 2.148756 62.000000
11.444515 2.154834 69.000000
11.438353 2.152486 68.000000
11.330828 2.149477 68.000000
11.371255 2.176732 65.000000
11.428918 2.152184 64.000000
11.407461 2.220557 71.000000
11.406704 2.132065 72.000000
11.421692 2.165675 66.000000
11.418791 2.208776 63.000000
11.413878 2.190236 72.000000
11.402974 2.160304 70.000000
11.437514 2.193087 67.000000
11.418156 2.146020 66.000000
11.405582 2.163899 70.000000
11.340437 2.209358 70.000000
11.385424 2.121439 74.000000
11.413832 2.185123 68.000000
11.415989 2.116405 66.000000
11.413912 2.192937 64.000000
11.399309 2.166900 64.000000
11.390867 2.160945 61.000000
11.362600 2.166994 66.000000
11.406945 2.101874 68.000000
11.406344 2.182817 69.000000
11.370802 2.188152 66.000000
11.382548 2.192189 63.000000
11.362677 2.184647 69.000000
11.390692 2.219704 65.000000
11.346874 2.167426 62.000000
11.325432 2.198757 63.000000
11.335935 2.142018 67.000000
11.293901 2.173896 71.000000
11.354824 2.163667 70.000000
11.379501 2.176674 58.000000
11.353268 2.126940 68.000000
11.068712 2.149007 68.000000
11.358917 2.159268 75.000000
11.351683 2.179852 64.000000
11.327725 2.253098 72.000000
11.274152 2.109884 67.000000
11.330570 2.164913 66.000000
11.217379 2.152810 70.000000
11.301794 2.182790 70.000000
11.262848 2.175891 65.000000
11.310719 2.168931 66.000000
11.328195 2.261909 67.000000
11.333971 2.225068 68.000000
11.328878 2.170829 66.000000
11.363360 2.207372 65.000000
11.353155 2.216363 67.000000
11.281803 2.252359 68.000000
11.361923 2.161097 59.000000
11.278992 2.188380 67.000000
11.282601 2.221690 63.000000
11.324450 2.264087 73.000000
11.319232 2.186469 61.000000
11.288237 2.146028 61.000000
11.342322 2.174206 64.000000
11.331152 2.178411 66.000000
11.344823 2.126194 65.000000
11.321920 2.181655 67.000000
11.328954 2.289446 60.000000
11.275384 2.168152 63.000000
11.262717 2.206130 66.000000
11.307047 2.192089 72.000000
10.942489 2.203316 62.000000
11.293570 2.155968 60.000000
11.303130 2.142316 64.000000
11.257799 2.161741 72.000000
11.287161 2.261181 66.000000
11.286587 2.153681 66.000000
11.289388 2.151164 70.000000
11.286384 2.169166 66.000000
11.241914 2.123738 66.000000
11.285934 2.173508 66.000000
11.259407 2.160402 69.000000
11.089512 2.161353 64.000000
11.204556 2.156293 63.000000
11.013266 2.191849 62.000000
11.268893 2.171280 59.000000
11.265480 2.136004 68.000000
11.258853 2.154960 69.000000
11.253407 2.135322 61.000000
11.242693 2.135787 65.000000
11.193726 2.200950 65.000000
11.213810 2.135109 65.000000
11.233430 2.163385 67.000000
11.158062 2.157644 61.000000
11.253372 2.195559 65.000000
11.272540 2.212573 69.000000
11.231688 2.144574 64.000000
11.246184 2.192848 63.000000
11.068233 2.261948 62.000000
11.040971 2.213932 59.000000
11.214183 2.246327 64.000000
11.207984 2.136235 62.000000
11.134549 2.106267 63.000000
11.221279 2.178058 57.000000
11.248435 2.172407 63.000000
11.094159 2.156758 59.000000
11.233640 2.135213 63.000000
10.998567 2.160976 63.000000
11.197932 2.192357 65.000000
10.301025 2.162910 57.000000
11.001011 2.176427 60.000000
11.094838 2.145716 66.000000
10.907830 2.230908 66.000000
11.249864 2.200021 64.000000
11.204819 2.197415 64.000000
11.224739 2.166137 65.000000
11.176765 2.187785 55.000000
11.219802 2.184809 62.000000
11.188835 2.214087 62.000000
11.215869 2.242840 66.000000
11.221093 2.161918 62.000000
11.150433 2.212241 61.000000
11.218813 2.170050 63.000000
11.205111 2.190240 65.000000
11.155504 2.141921 65.000000
11.210527 2.196141 65.000000
11.201008 2.181631 63.000000
11.140058 2.189750 65.000000
11.206287 2.133783 62.000000
11.188620 2.175679 67.000000
11.192854 2.242776 63.000000
11.198908 2.193093 58.000000
11.062840 2.220049 64.000000
11.107698 2.217442 63.000000
11.158910 2.191688 61.000000
11.177947 2.159629 60.000000
11.178300 2.137619 62.000000
10.888684 2.174597 64.000000
11.203715 2.151025 61.000000
11.109452 2.190950 60.000000
11.170434 2.174335 62.000000
11.135317 2.210332 60.000000
11.146350 2.119680 60.000000
10.899817 2.222256 54.000000
11.096016 2.147266 60.000000
11.155895 2.251003 68.000000
11.157619 2.195737 59.000000
11.166726 2.175564 60.000000
11.103618 2.183863 63.000000
11.135239 2.163043 60.000000
11.097927 2.200300 61.000000
11.131947 2.166816 60.000000
11.039799 2.198228 58.000000
11.101254 2.194337 61.000000
10.319035 2.188832 62.000000
11.160231 2.190930 56.000000
11.134210 2.191849 58.000000
11.128579 2.188133 65.000000
11.129893 2.185171 59.000000
11.141406 2.147852 63.000000
10.915475 2.228284 65.000000
11.123378 2.163996 61.000000
11.136047 2.102824 61.000000
11.102108 2.161874 62.000000
11.151804 2.156391 59.000000
11.102228 2.196766 63.000000
11.024769 2.149865 66.000000
11.116361 2.179021 67.000000
11.125516 2.174551 59.000000
11.068429 2.118826 61.000000
11.130796 2.178814 60.000000
10.282233 2.155435 59.000000
11.098214 2.179698 66.000000
11.094759 2.200415 63.000000
10.958931 2.170083 60.000000
11.137910 2.201871 62.000000
11.130068 2.143907 56.000000
11.139591 2.207916 54.000000
11.108746 2.171581 56.000000
11.039023 2.225773 59.000000
11.151355 2.172376 67.000000
10.945493 2.133028 58.000000
10.959916 2.151458 59.000000
11.094003 2.152751 50.000000
11.094948 2.162504 56.000000
11.060861 2.182482 63.000000
11.088599 2.140723 64.000000
11.116241 2.189994 59.000000
11.091063 2.224863 59.000000
11.087131 2.201609 62.000000
11.015801 2.173507 55.000000
11.091982 2.145210 57.000000
11.040423 2.151465 62.000000
10.868051 2.130511 56.000000
11.057954 2.171090 59.000000
10.831051 2.211757 65.000000
11.051068 2.172161 57.000000
11.081418 2.184228 62.000000
11.087096 2.239054 58.000000
11.086872 2.181917 61.000000
11.105174 2.158948 55.000000
11.069418 2.156536 59.000000
11.085652 2.183680 59.000000
11.048414 2.232704 63.000000
11.096849 2.165736 58.000000
11.110005 2.157571 56.000000
11.087567 2.203681 63.000000
11.082311 2.218358 63.000000
11.027080 2.195561 59.000000
11.010134 2.118557 58.000000
11.084534 2.155417 61.000000
11.101988 2.175178 63.000000
11.046613 2.169665 63.000000
11.046654 2.154354 58.000000
11.075435 2.208942 63.000000
11.078289 2.163695 51.000000
11.080322 2.163887 56.000000
11.071645 2.213337 55.000000
10.963389 2.161555 63.000000
11.065270 2.147982 58.000000
11.069435 2.149470 60.000000
