log10(Mass)+10    log10(VelDisp_subhalos)
11.197932 1.884881
10.301025 1.922466
11.001011 1.853168
11.094838 1.949907
10.907830 1.871097
11.249864 1.962378
11.204819 1.933812
11.224739 1.915231
11.176765 1.993438
11.219802 -inf
11.188835 1.864453
11.215869 1.830654
11.221093 1.929166
11.150433 1.779065
11.218813 1.818056
11.205111 1.735053
11.155504 1.946112
11.210527 1.923756
11.201008 1.876981
11.140058 1.973107
11.206287 1.883326
11.188620 1.786093
11.192854 2.009872
11.198908 -inf
11.062840 1.905949
11.107698 1.775701
11.158910 1.975977
11.177947 1.995650
11.178300 1.904909
10.888684 1.803400
11.203715 1.943695
11.109452 1.913715
11.170434 1.971982
11.135317 1.877688
11.146350 2.019634
10.899817 1.826008
11.096016 2.335760
11.155895 1.763406
11.157619 1.956182
11.166726 1.865559
11.103618 1.991933
11.135239 2.014420
11.097927 1.871589
11.131947 2.008153
11.039799 -inf
11.101254 1.752836
10.319035 2.247393
11.160231 2.382347
11.134210 1.830757
11.128579 1.759426
11.129893 1.621483
11.141406 1.779811
10.915475 1.877670
11.123378 1.741648
11.136047 1.889310
11.102108 1.865932
11.151804 1.970820
11.102228 1.846032
11.024769 1.753229
11.116361 1.933615
11.125516 2.077222
11.068429 1.615392
11.130796 1.978099
10.282233 1.754146
11.098214 1.881609
11.094759 1.813998
10.958931 1.730350
11.137910 1.880751
11.130068 -inf
11.139591 -inf
11.108746 1.927575
11.039023 -inf
11.151355 -inf
10.945493 -inf
10.959916 1.958873
11.094003 -inf
11.094948 1.865704
11.060861 1.864381
11.088599 1.720920
11.116241 1.939429
11.091063 1.647468
11.087131 1.874373
11.015801 1.702543
11.091982 1.879685
11.040423 1.769206
10.868051 1.956443
11.057954 1.788865
10.831051 1.720388
11.051068 1.896300
11.081418 1.829853
11.087096 1.849580
11.086872 -inf
11.105174 2.034038
11.069418 1.834445
11.085652 -inf
11.048414 1.919448
11.096849 1.751484
11.110005 1.972482
11.087567 -inf
11.082311 1.952326
11.027080 1.818564
11.010134 1.902216
11.084534 1.599247
11.101988 -inf
11.046613 1.900840
11.046654 1.690052
11.075435 1.928329
11.078289 1.733240
11.080322 1.797510
11.071645 -inf
10.963389 1.818333
11.065270 1.866543
11.069435 1.899162
11.095768 1.865532
11.052419 1.779559
11.057519 -inf
11.062607 1.818631
10.930684 1.829535
11.055770 1.928019
11.046793 1.839371
11.068542 -inf
10.971503 1.752632
10.934278 1.754223
10.950410 1.755325
10.988927 -inf
11.075791 -inf
11.000871 1.886263
10.953363 -inf
11.035266 1.783238
10.885062 1.712099
11.063701 -inf
11.017940 1.982175
10.968676 1.584310
10.960141 1.840986
10.996336 2.003835
11.063889 1.896194
11.078074 -inf
11.061658 1.887084
10.984389 1.787164
11.005419 1.845613
11.035057 1.762269
11.036276 -inf
11.017780 -inf
11.055647 1.856146
11.009595 1.685665
11.044634 1.956778
11.023271 1.920275
10.993619 1.760989
10.985124 1.711084
11.063526 -inf
11.048463 1.851872
11.027469 1.865474
10.493609 1.695444
11.008564 1.798444
10.699356 1.989313
10.825712 1.730915
11.030837 -inf
11.011139 1.707419
11.022740 -inf
11.033259 1.571986
10.921651 1.739238
11.025318 1.807016
11.018320 2.166286
11.024021 -inf
11.028719 -inf
11.019788 1.838927
10.989791 1.915205
10.746604 1.716831
11.004287 1.793110
10.991068 1.898173
11.025180 1.948950
10.631523 2.308110
11.014241 -inf
11.013135 -inf
10.993186 1.860430
10.966843 1.823969
10.985922 2.238681
10.991528 1.828720
10.963499 1.885228
11.023450 -inf
11.004752 1.918615
10.942871 1.775145
10.986780 1.775891
10.977157 1.489772
11.021589 -inf
10.897041 1.871874
11.003705 1.871516
11.003313 -inf
10.942281 1.758281
10.893417 1.696996
10.952861 1.800158
10.931126 1.693169
11.026890 1.918269
10.927919 2.088701
10.998139 1.801480
10.820435 1.615541
10.952638 1.816880
10.978587 1.825254
10.939107 1.793184
10.911756 1.718775
10.986052 -inf
10.978366 1.876884
10.933239 1.770233
10.990068 1.590541
10.916336 1.831294
10.997687 -inf
10.965582 -inf
10.970034 1.932440
10.970934 1.903098
10.947568 -inf
10.909779 1.685786
10.811832 1.735732
10.925969 1.871814
10.897867 1.924336
10.934529 1.797403
10.950094 -inf
10.972005 -inf
10.936237 1.828444
10.537079 1.838003
10.919312 1.774797
10.709408 2.280255
10.959308 1.832096
10.973210 1.936575
10.943988 -inf
10.963242 1.769113
10.962279 1.910034
10.839710 1.732612
10.966201 1.933868
10.754727 1.856092
10.927838 1.773719
10.952854 1.850483
10.839222 1.852661
10.913505 1.625189
10.889850 1.806047
10.959912 1.740934
10.914750 1.783912
10.935980 1.721651
10.935978 1.897209
10.893620 1.885409
10.875471 1.860949
10.946679 1.886419
10.697676 1.654725
10.780800 1.844154
10.875039 1.743723
10.934497 1.861937
10.709341 1.646681
10.939784 1.603917
10.939262 1.812770
10.924437 1.926777
10.917315 1.887899
10.942587 1.988838
10.915973 1.695999
10.901445 1.753628
10.937119 1.796002
10.909155 1.862596
10.929392 1.784544
10.913311 -inf
10.527349 2.075847
10.802813 1.750833
10.894934 1.855861
10.897949 1.781781
10.868897 1.889102
10.873042 1.740015
10.919460 1.501478
10.932001 1.678192
10.826797 1.932891
10.942257 -inf
10.910282 -inf
