log10(Mass)+10    log10(VelDisp_particles)
11.197932 1.938597
10.301025 1.900250
11.001011 1.911454
11.094838 1.915687
10.907830 1.873333
11.249864 1.980118
11.204819 1.938970
11.224739 1.958877
11.176765 1.932368
11.219802 1.954988
11.188835 1.950965
11.215869 1.941663
11.221093 2.000188
11.150433 1.940210
11.218813 1.977467
11.205111 1.959509
11.155504 1.928865
11.210527 1.981165
11.201008 1.946418
11.140058 1.910364
11.206287 1.965531
11.188620 1.952565
11.192854 1.944126
11.198908 1.948853
11.062840 1.899216
11.107698 1.921650
11.158910 1.926636
11.177947 1.944099
11.178300 1.935317
10.888684 1.842627
11.203715 1.973680
11.109452 1.891777
11.170434 1.930059
11.135317 1.925872
11.146350 1.906069
10.899817 1.865981
11.096016 2.061516
11.155895 1.950432
11.157619 1.916663
11.166726 1.962961
11.103618 1.926669
11.135239 1.922287
11.097927 1.899616
11.131947 1.967666
11.039799 1.897955
11.101254 1.879232
10.319035 2.260513
11.160231 2.007908
11.134210 1.886849
11.128579 1.928333
11.129893 1.930834
11.141406 1.930569
10.915475 1.835427
11.123378 1.921921
11.136047 1.921379
11.102108 1.903417
11.151804 1.958083
11.102228 1.930344
11.024769 1.867579
11.116361 1.917531
11.125516 1.969995
11.068429 1.903090
11.130796 1.929974
10.282233 1.883478
11.098214 1.907903
11.094759 1.910739
10.958931 1.862277
11.137910 1.943184
11.130068 1.925693
11.139591 1.973209
11.108746 1.919791
11.039023 1.901854
11.151355 2.069630
10.945493 1.906354
10.959916 1.933512
11.094003 1.910323
11.094948 1.913264
11.060861 1.881982
11.088599 1.878351
11.116241 1.952285
11.091063 1.906234
11.087131 1.900691
11.015801 1.886866
11.091982 1.925741
11.040423 1.851873
10.868051 1.862989
11.057954 1.870176
10.831051 1.875232
11.051068 1.906627
11.081418 1.913299
11.087096 1.902591
11.086872 1.943654
11.105174 1.919946
11.069418 1.888935
11.085652 1.902372
11.048414 1.910722
11.096849 1.916975
11.110005 1.934995
11.087567 2.049849
11.082311 1.902537
11.027080 1.946549
11.010134 1.876591
11.084534 1.903410
11.101988 1.932234
11.046613 1.902305
11.046654 1.871353
11.075435 1.900953
11.078289 1.894274
11.080322 1.890276
11.071645 1.899506
10.963389 1.829032
11.065270 1.871806
11.069435 1.890790
11.095768 1.927457
11.052419 1.884990
11.057519 1.889469
11.062607 1.908409
10.930684 1.961175
11.055770 1.884224
11.046793 1.883109
11.068542 1.904706
10.971503 1.859485
10.934278 1.841430
10.950410 1.831390
10.988927 1.881386
11.075791 1.917327
11.000871 1.851163
10.953363 1.863656
11.035266 1.885170
10.885062 1.857047
11.063701 1.902262
11.017940 1.922867
10.968676 1.876389
10.960141 1.842690
10.996336 1.983360
