No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
1301.0 1.0 20.1056 67.3573 0.0953 0.0 0.0 0.0
1302.0 1.0 11.7373 56.294 0.0796 0.0 0.0 0.0
1303.0 1.0 13.6935 59.263 0.0838 0.0 0.0 0.0
1304.0 1.0 21.9531 69.3596 0.0981 0.0 0.0 0.0
1305.0 1.0 19.6709 66.8682 0.0946 0.0 0.0 0.0
1306.0 1.0 17.4973 64.3087 0.091 0.0 0.0 0.0
1307.0 1.0 16.4105 62.948 0.089 0.0 0.0 0.0
1308.0 1.0 5.8687 44.6814 0.0632 0.0 0.0 0.0
1309.0 1.0 20.2143 67.4779 0.0954 0.0 0.0 0.0
1310.0 1.0 24.344 71.7902 0.1016 0.0 0.0 0.0
1311.0 2.0 18.6928 65.7406 0.093 26.5831 3.0565 11.9218
1312.0 1.0 13.2588 58.6296 0.0829 0.0 0.0 0.0
1313.0 1.0 24.6701 72.1118 0.102 0.0 0.0 0.0
1314.0 1.0 19.6709 66.8683 0.0946 0.0 0.0 0.0
1315.0 1.0 11.1939 55.4114 0.0784 0.0 0.0 0.0
1316.0 1.0 20.2143 67.4784 0.0954 0.0 0.0 0.0
1317.0 1.0 21.0837 68.4311 0.0968 0.0 0.0 0.0
1318.0 1.0 17.7146 64.5737 0.0913 0.0 0.0 0.0
1319.0 1.0 5.2166 42.9606 0.0608 0.0 0.0 0.0
1320.0 1.0 22.4965 69.927 0.0989 0.0 0.0 0.0
1321.0 1.0 19.6709 66.8687 0.0946 0.0 0.0 0.0
1322.0 1.0 21.1924 68.5507 0.097 0.0 0.0 0.0
1323.0 1.0 19.3448 66.497 0.0941 0.0 0.0 0.0
1324.0 1.0 22.2792 69.7005 0.0986 0.0 0.0 0.0
1325.0 1.0 23.2573 70.7082 0.1 0.0 0.0 0.0
1326.0 1.0 17.7146 64.5733 0.0913 0.0 0.0 0.0
1327.0 1.0 21.7358 69.1315 0.0978 0.0 0.0 0.0
1328.0 1.0 15.3237 61.5265 0.087 0.0 0.0 0.0
1329.0 2.0 19.3448 66.4956 0.0941 49.5368 10.7358 25.8589
1330.0 1.0 20.7576 68.0757 0.0963 0.0 0.0 0.0
1331.0 1.0 20.3229 67.5984 0.0956 0.0 0.0 0.0
1332.0 1.0 24.7788 72.2174 0.1021 0.0 0.0 0.0
1333.0 1.0 20.8663 68.1976 0.0965 0.0 0.0 0.0
1334.0 1.0 19.7795 66.99 0.0948 0.0 0.0 0.0
1335.0 1.0 21.5184 68.8992 0.0975 0.0 0.0 0.0
1336.0 1.0 19.5622 66.7445 0.0944 0.0 0.0 0.0
1337.0 1.0 10.6505 54.5 0.0771 0.0 0.0 0.0
1338.0 1.0 19.3448 66.4962 0.0941 0.0 0.0 0.0
1339.0 1.0 21.301 68.6654 0.0971 0.0 0.0 0.0
1340.0 1.0 14.9977 61.0875 0.0864 0.0 0.0 0.0
1341.0 1.0 19.0188 66.12 0.0935 0.0 0.0 0.0
1342.0 2.0 9.8898 53.171 0.0752 32.883 3.7825 19.5621
1343.0 1.0 21.5184 68.8982 0.0975 0.0 0.0 0.0
1344.0 1.0 20.2143 67.4779 0.0954 0.0 0.0 0.0
1345.0 1.0 24.018 71.4703 0.1011 0.0 0.0 0.0
1346.0 1.0 21.5184 68.8976 0.0975 0.0 0.0 0.0
1347.0 1.0 19.5622 66.7451 0.0944 0.0 0.0 0.0
1348.0 1.0 19.2361 66.372 0.0939 0.0 0.0 0.0
1349.0 1.0 24.018 71.4683 0.1011 0.0 0.0 0.0
1350.0 1.0 22.1705 69.5892 0.0984 0.0 0.0 0.0
1351.0 1.0 21.8444 69.2441 0.098 0.0 0.0 0.0
1352.0 1.0 18.3667 65.3557 0.0924 0.0 0.0 0.0
1353.0 1.0 22.9312 70.3741 0.0995 0.0 0.0 0.0
1354.0 1.0 19.6709 66.8674 0.0946 0.0 0.0 0.0
1355.0 1.0 4.3472 40.4272 0.0572 0.0 0.0 0.0
1356.0 1.0 14.1282 59.884 0.0847 0.0 0.0 0.0
1357.0 1.0 19.7795 66.9912 0.0948 0.0 0.0 0.0
1358.0 1.0 21.7358 69.1293 0.0978 0.0 0.0 0.0
1359.0 1.0 21.5184 68.9005 0.0975 0.0 0.0 0.0
1360.0 1.0 21.5184 68.9005 0.0975 0.0 0.0 0.0
1361.0 1.0 15.1064 61.2353 0.0866 0.0 0.0 0.0
1362.0 1.0 19.6709 66.8686 0.0946 0.0 0.0 0.0
1363.0 1.0 19.2361 66.3717 0.0939 0.0 0.0 0.0
1364.0 1.0 20.5403 67.8393 0.096 0.0 0.0 0.0
1365.0 1.0 19.0188 66.1203 0.0935 0.0 0.0 0.0
1366.0 1.0 19.3448 66.4956 0.0941 0.0 0.0 0.0
1367.0 1.0 18.4754 65.4844 0.0926 0.0 0.0 0.0
1368.0 1.0 20.1056 67.3584 0.0953 0.0 0.0 0.0
1369.0 1.0 21.0837 68.4329 0.0968 0.0 0.0 0.0
1370.0 1.0 7.6075 48.7178 0.0689 0.0 0.0 0.0
1371.0 1.0 22.6052 70.0412 0.0991 0.0 0.0 0.0
1372.0 1.0 23.3659 70.8167 0.1002 0.0 0.0 0.0
1373.0 1.0 17.0626 63.7704 0.0902 0.0 0.0 0.0
1374.0 1.0 18.4754 65.4846 0.0926 0.0 0.0 0.0
1375.0 1.0 20.975 68.3139 0.0966 0.0 0.0 0.0
1376.0 1.0 18.6928 65.7407 0.093 0.0 0.0 0.0
1377.0 1.0 20.975 68.3139 0.0966 0.0 0.0 0.0
1378.0 1.0 20.649 67.9581 0.0961 0.0 0.0 0.0
1379.0 1.0 21.6271 69.0157 0.0976 0.0 0.0 0.0
1380.0 1.0 14.889 60.9399 0.0862 0.0 0.0 0.0
1381.0 1.0 18.1494 65.0966 0.0921 0.0 0.0 0.0
1382.0 1.0 12.9328 58.1445 0.0822 0.0 0.0 0.0
1383.0 1.0 21.4097 68.7829 0.0973 0.0 0.0 0.0
1384.0 1.0 15.4324 61.6721 0.0872 0.0 0.0 0.0
1385.0 1.0 21.6271 69.0136 0.0976 0.0 0.0 0.0
1386.0 1.0 9.6724 52.7782 0.0747 0.0 0.0 0.0
1387.0 1.0 21.4097 68.7829 0.0973 0.0 0.0 0.0
1388.0 1.0 20.3229 67.6004 0.0956 0.0 0.0 0.0
1389.0 1.0 18.8014 65.8684 0.0932 0.0 0.0 0.0
1390.0 1.0 20.5403 67.8398 0.096 0.0 0.0 0.0
1391.0 1.0 23.692 71.1452 0.1006 0.0 0.0 0.0
1392.0 1.0 16.8452 63.4986 0.0898 0.0 0.0 0.0
1393.0 1.0 18.3667 65.3564 0.0924 0.0 0.0 0.0
1394.0 1.0 20.975 68.3156 0.0966 0.0 0.0 0.0
1395.0 1.0 16.6279 63.2244 0.0894 0.0 0.0 0.0
1396.0 1.0 17.606 64.4409 0.0912 0.0 0.0 0.0
1397.0 1.0 14.889 60.9397 0.0862 0.0 0.0 0.0
1398.0 1.0 22.7139 70.1508 0.0992 0.0 0.0 0.0
1399.0 1.0 20.2143 67.4774 0.0955 0.0 0.0 0.0
1400.0 1.0 16.7365 63.3631 0.0896 0.0 0.0 0.0
1401.0 1.0 19.5622 66.7442 0.0944 0.0 0.0 0.0
1402.0 1.0 13.0415 58.306 0.0825 0.0 0.0 0.0
1403.0 1.0 10.7592 54.6845 0.0774 0.0 0.0 0.0
1404.0 1.0 20.7576 68.0788 0.0963 0.0 0.0 0.0
1405.0 1.0 22.4965 69.9278 0.0989 0.0 0.0 0.0
1406.0 1.0 19.2361 66.3721 0.0939 0.0 0.0 0.0
1407.0 1.0 18.6928 65.74 0.093 0.0 0.0 0.0
1408.0 1.0 8.3683 50.2916 0.0711 0.0 0.0 0.0
1409.0 1.0 8.0422 49.6282 0.0702 0.0 0.0 0.0
1410.0 1.0 15.3237 61.5261 0.087 0.0 0.0 0.0
1411.0 1.0 10.8679 54.8682 0.0776 0.0 0.0 0.0
1412.0 1.0 14.889 60.9388 0.0862 0.0 0.0 0.0
1413.0 1.0 18.6928 65.7414 0.093 0.0 0.0 0.0
1414.0 1.0 21.5184 68.8986 0.0975 0.0 0.0 0.0
1415.0 1.0 16.8452 63.4996 0.0898 0.0 0.0 0.0
1416.0 1.0 15.215 61.3811 0.0868 0.0 0.0 0.0
1417.0 1.0 12.3894 57.3177 0.0811 0.0 0.0 0.0
1418.0 1.0 22.0618 69.4731 0.0983 0.0 0.0 0.0
1419.0 1.0 15.1064 61.2351 0.0866 0.0 0.0 0.0
1420.0 1.0 21.6271 69.0138 0.0976 0.0 0.0 0.0
1421.0 1.0 15.1064 61.2351 0.0866 0.0 0.0 0.0
1422.0 1.0 19.8882 67.112 0.0949 0.0 0.0 0.0
1423.0 1.0 20.8663 68.1974 0.0965 0.0 0.0 0.0
1424.0 1.0 17.1712 63.9068 0.0904 0.0 0.0 0.0
1425.0 1.0 23.0399 70.4855 0.0997 0.0 0.0 0.0
1426.0 1.0 17.932 64.8365 0.0917 0.0 0.0 0.0
1427.0 1.0 14.1282 59.8839 0.0847 0.0 0.0 0.0
1428.0 1.0 12.7154 57.8164 0.0818 0.0 0.0 0.0
1429.0 1.0 19.1275 66.246 0.0937 0.0 0.0 0.0
1430.0 1.0 19.1275 66.246 0.0937 0.0 0.0 0.0
1431.0 1.0 21.9531 69.3582 0.0981 0.0 0.0 0.0
1432.0 1.0 14.6716 60.6408 0.0858 0.0 0.0 0.0
1433.0 1.0 17.606 64.4413 0.0912 0.0 0.0 0.0
1434.0 1.0 19.3448 66.4956 0.0941 0.0 0.0 0.0
1435.0 1.0 17.4973 64.3083 0.091 0.0 0.0 0.0
1436.0 1.0 19.3448 66.4956 0.0941 0.0 0.0 0.0
1437.0 1.0 14.563 60.491 0.0856 0.0 0.0 0.0
1438.0 1.0 21.301 68.6663 0.0971 0.0 0.0 0.0
1439.0 1.0 20.2143 67.4774 0.0955 0.0 0.0 0.0
1440.0 2.0 20.7576 68.0779 0.0963 23.8732 2.5526 14.5142
1441.0 1.0 13.8022 59.4197 0.084 0.0 0.0 0.0
1442.0 1.0 19.8882 67.1116 0.0949 0.0 0.0 0.0
1443.0 1.0 21.8444 69.2436 0.098 0.0 0.0 0.0
1444.0 1.0 10.8679 54.8686 0.0776 0.0 0.0 0.0
1445.0 1.0 8.803 51.1466 0.0723 0.0 0.0 0.0
1446.0 1.0 17.2799 64.0416 0.0906 0.0 0.0 0.0
1447.0 1.0 20.5403 67.8392 0.096 0.0 0.0 0.0
1448.0 1.0 22.7139 70.1535 0.0992 0.0 0.0 0.0
1449.0 1.0 19.8882 67.1116 0.0949 0.0 0.0 0.0
1450.0 1.0 10.2158 53.7492 0.076 0.0 0.0 0.0
1451.0 1.0 19.7795 66.9901 0.0948 0.0 0.0 0.0
1452.0 1.0 18.8014 65.8685 0.0932 0.0 0.0 0.0
1453.0 1.0 18.0407 64.9671 0.0919 0.0 0.0 0.0
1454.0 1.0 20.1056 67.3574 0.0953 0.0 0.0 0.0
1455.0 1.0 16.5192 63.0871 0.0892 0.0 0.0 0.0
1456.0 1.0 13.0415 58.3067 0.0825 0.0 0.0 0.0
1457.0 1.0 19.4535 66.6193 0.0942 0.0 0.0 0.0
1458.0 1.0 14.6716 60.642 0.0858 0.0 0.0 0.0
1459.0 1.0 19.1275 66.2453 0.0937 0.0 0.0 0.0
1460.0 1.0 18.1494 65.0978 0.0921 0.0 0.0 0.0
1461.0 1.0 18.3667 65.3558 0.0924 0.0 0.0 0.0
1462.0 1.0 20.2143 67.4796 0.0954 0.0 0.0 0.0
1463.0 1.0 19.9969 67.2342 0.0951 0.0 0.0 0.0
1464.0 1.0 19.7795 66.9894 0.0948 0.0 0.0 0.0
1465.0 1.0 16.9539 63.635 0.09 0.0 0.0 0.0
1466.0 1.0 15.1064 61.235 0.0866 0.0 0.0 0.0
1467.0 1.0 18.3667 65.3564 0.0924 0.0 0.0 0.0
1468.0 1.0 16.3018 62.8092 0.0888 0.0 0.0 0.0
1469.0 1.0 17.606 64.4412 0.0912 0.0 0.0 0.0
1470.0 1.0 19.1275 66.248 0.0937 0.0 0.0 0.0
1471.0 1.0 20.649 67.9581 0.0961 0.0 0.0 0.0
1472.0 1.0 21.9531 69.3605 0.0981 0.0 0.0 0.0
1473.0 1.0 11.1939 55.4115 0.0784 0.0 0.0 0.0
1474.0 1.0 18.6928 65.7392 0.093 0.0 0.0 0.0
1475.0 1.0 18.4754 65.4845 0.0926 0.0 0.0 0.0
1476.0 1.0 9.7811 52.9756 0.0749 0.0 0.0 0.0
1477.0 1.0 17.3886 64.1752 0.0908 0.0 0.0 0.0
1478.0 1.0 19.3448 66.4951 0.0941 0.0 0.0 0.0
1479.0 1.0 17.3886 64.1752 0.0908 0.0 0.0 0.0
1480.0 1.0 9.3464 52.1789 0.0738 0.0 0.0 0.0
1481.0 1.0 18.258 65.2266 0.0923 0.0 0.0 0.0
1482.0 1.0 10.6505 54.5004 0.0771 0.0 0.0 0.0
1483.0 1.0 19.4535 66.6199 0.0942 0.0 0.0 0.0
1484.0 1.0 19.0188 66.1223 0.0935 0.0 0.0 0.0
1485.0 1.0 19.1275 66.2453 0.0937 0.0 0.0 0.0
1486.0 1.0 18.3667 65.3565 0.0924 0.0 0.0 0.0
1487.0 1.0 16.8452 63.4986 0.0898 0.0 0.0 0.0
1488.0 1.0 16.6279 63.2245 0.0894 0.0 0.0 0.0
1489.0 1.0 18.9101 65.9958 0.0933 0.0 0.0 0.0
1490.0 1.0 19.8882 67.1129 0.0949 0.0 0.0 0.0
1491.0 1.0 18.4754 65.4837 0.0926 0.0 0.0 0.0
1492.0 1.0 19.3448 66.4979 0.0941 0.0 0.0 0.0
1493.0 1.0 14.9977 61.0867 0.0864 0.0 0.0 0.0
1494.0 1.0 18.9101 65.9933 0.0934 0.0 0.0 0.0
1495.0 1.0 20.4316 67.7177 0.0958 0.0 0.0 0.0
1496.0 1.0 18.8014 65.8665 0.0932 0.0 0.0 0.0
1497.0 1.0 17.7146 64.5731 0.0913 0.0 0.0 0.0
1498.0 1.0 18.9101 65.9945 0.0934 0.0 0.0 0.0
1499.0 1.0 16.1931 62.6691 0.0886 0.0 0.0 0.0
1500.0 1.0 15.7584 62.104 0.0878 0.0 0.0 0.0
1501.0 1.0 10.7592 54.6856 0.0774 0.0 0.0 0.0
1502.0 1.0 17.8233 64.7056 0.0915 0.0 0.0 0.0
1503.0 1.0 18.3667 65.3567 0.0924 0.0 0.0 0.0
1504.0 1.0 14.6716 60.6419 0.0858 0.0 0.0 0.0
1505.0 1.0 4.4558 40.7625 0.0577 0.0 0.0 0.0
1506.0 1.0 17.932 64.8372 0.0917 0.0 0.0 0.0
1507.0 1.0 18.0407 64.9671 0.0919 0.0 0.0 0.0
1508.0 1.0 16.9539 63.6356 0.09 0.0 0.0 0.0
1509.0 1.0 19.6709 66.8663 0.0946 0.0 0.0 0.0
1510.0 1.0 16.5192 63.0862 0.0892 0.0 0.0 0.0
1511.0 1.0 17.1712 63.9066 0.0904 0.0 0.0 0.0
1512.0 1.0 15.8671 62.2461 0.088 0.0 0.0 0.0
1513.0 1.0 19.2361 66.3715 0.0939 0.0 0.0 0.0
1514.0 1.0 19.6709 66.8688 0.0946 0.0 0.0 0.0
1515.0 1.0 17.932 64.837 0.0917 0.0 0.0 0.0
1516.0 1.0 16.9539 63.6355 0.09 0.0 0.0 0.0
1517.0 1.0 15.215 61.3805 0.0868 0.0 0.0 0.0
1518.0 1.0 19.8882 67.1133 0.0949 0.0 0.0 0.0
1519.0 1.0 18.5841 65.6141 0.0928 0.0 0.0 0.0
1520.0 1.0 10.6505 54.4998 0.0771 0.0 0.0 0.0
1521.0 1.0 16.6279 63.2245 0.0894 0.0 0.0 0.0
1522.0 1.0 17.3886 64.1753 0.0908 0.0 0.0 0.0
1523.0 1.0 20.2143 67.4783 0.0954 0.0 0.0 0.0
1524.0 1.0 16.1931 62.6683 0.0886 0.0 0.0 0.0
1525.0 1.0 17.606 64.4416 0.0912 0.0 0.0 0.0
1526.0 1.0 8.0422 49.6292 0.0702 0.0 0.0 0.0
1527.0 1.0 12.7154 57.8167 0.0818 0.0 0.0 0.0
1528.0 1.0 16.6279 63.2245 0.0894 0.0 0.0 0.0
1529.0 1.0 15.4324 61.6725 0.0872 0.0 0.0 0.0
1530.0 1.0 18.5841 65.6126 0.0928 0.0 0.0 0.0
1531.0 1.0 19.8882 67.113 0.0949 0.0 0.0 0.0
1532.0 1.0 20.8663 68.1956 0.0965 0.0 0.0 0.0
1533.0 1.0 18.258 65.227 0.0923 0.0 0.0 0.0
1534.0 1.0 19.0188 66.1201 0.0935 0.0 0.0 0.0
1535.0 1.0 19.6709 66.8681 0.0946 0.0 0.0 0.0
1536.0 1.0 19.7795 66.9909 0.0948 0.0 0.0 0.0
1537.0 1.0 17.4973 64.3083 0.091 0.0 0.0 0.0
1538.0 1.0 17.7146 64.5731 0.0913 0.0 0.0 0.0
1539.0 1.0 18.8014 65.8666 0.0932 0.0 0.0 0.0
1540.0 1.0 18.0407 64.9687 0.0919 0.0 0.0 0.0
1541.0 1.0 16.7365 63.3628 0.0896 0.0 0.0 0.0
1542.0 1.0 17.606 64.4412 0.0912 0.0 0.0 0.0
1543.0 1.0 20.975 68.3141 0.0966 0.0 0.0 0.0
1544.0 1.0 19.4535 66.6206 0.0942 0.0 0.0 0.0
1545.0 1.0 17.3886 64.1742 0.0908 0.0 0.0 0.0
1546.0 1.0 16.1931 62.6686 0.0886 0.0 0.0 0.0
1547.0 1.0 16.9539 63.6351 0.09 0.0 0.0 0.0
1548.0 1.0 18.8014 65.8663 0.0932 0.0 0.0 0.0
1549.0 1.0 20.3229 67.5979 0.0956 0.0 0.0 0.0
1550.0 1.0 17.3886 64.1745 0.0908 0.0 0.0 0.0
1551.0 1.0 14.889 60.9395 0.0862 0.0 0.0 0.0
1552.0 1.0 18.3667 65.357 0.0924 0.0 0.0 0.0
1553.0 1.0 13.3675 58.7878 0.0832 0.0 0.0 0.0
1554.0 1.0 16.1931 62.6693 0.0886 0.0 0.0 0.0
1555.0 1.0 9.6724 52.7778 0.0747 0.0 0.0 0.0
1556.0 1.0 18.3667 65.3569 0.0924 0.0 0.0 0.0
1557.0 1.0 15.1064 61.2353 0.0866 0.0 0.0 0.0
1558.0 1.0 14.9977 61.087 0.0864 0.0 0.0 0.0
1559.0 1.0 16.9539 63.6352 0.09 0.0 0.0 0.0
1560.0 1.0 17.8233 64.7057 0.0915 0.0 0.0 0.0
1561.0 1.0 14.2369 60.0358 0.0849 0.0 0.0 0.0
1562.0 1.0 15.3237 61.5271 0.087 0.0 0.0 0.0
1563.0 1.0 18.9101 65.9929 0.0934 0.0 0.0 0.0
1564.0 1.0 19.3448 66.4948 0.0941 0.0 0.0 0.0
1565.0 1.0 17.8233 64.7055 0.0915 0.0 0.0 0.0
1566.0 1.0 16.3018 62.8092 0.0888 0.0 0.0 0.0
1567.0 1.0 19.5622 66.7448 0.0944 0.0 0.0 0.0
1568.0 1.0 19.1275 66.2453 0.0937 0.0 0.0 0.0
1569.0 1.0 16.9539 63.6356 0.09 0.0 0.0 0.0
1570.0 1.0 16.9539 63.6356 0.09 0.0 0.0 0.0
1571.0 1.0 18.258 65.2282 0.0923 0.0 0.0 0.0
1572.0 1.0 15.9758 62.3873 0.0882 0.0 0.0 0.0
1573.0 1.0 17.8233 64.7059 0.0915 0.0 0.0 0.0
1574.0 0.0 0.0 nan 0.0 nan nan nan
1575.0 1.0 17.0626 63.7706 0.0902 0.0 0.0 0.0
1576.0 1.0 7.1728 47.7727 0.0676 0.0 0.0 0.0
1577.0 1.0 16.5192 63.0872 0.0892 0.0 0.0 0.0
1578.0 1.0 16.8452 63.4989 0.0898 0.0 0.0 0.0
1579.0 1.0 19.2361 66.3719 0.0939 0.0 0.0 0.0
1580.0 1.0 14.9977 61.0865 0.0864 0.0 0.0 0.0
1581.0 1.0 21.1924 68.5489 0.097 0.0 0.0 0.0
1582.0 1.0 16.8452 63.4987 0.0898 0.0 0.0 0.0
1583.0 1.0 17.932 64.8363 0.0917 0.0 0.0 0.0
1584.0 1.0 17.7146 64.573 0.0913 0.0 0.0 0.0
1585.0 1.0 17.7146 64.573 0.0913 0.0 0.0 0.0
1586.0 1.0 18.5841 65.6138 0.0928 0.0 0.0 0.0
1587.0 1.0 17.1712 63.906 0.0904 0.0 0.0 0.0
1588.0 1.0 16.8452 63.4987 0.0898 0.0 0.0 0.0
1589.0 1.0 19.6709 66.8683 0.0946 0.0 0.0 0.0
1590.0 1.0 15.215 61.3808 0.0868 0.0 0.0 0.0
1591.0 1.0 17.606 64.4425 0.0911 0.0 0.0 0.0
1592.0 1.0 14.563 60.4921 0.0856 0.0 0.0 0.0
1593.0 1.0 18.1494 65.0978 0.0921 0.0 0.0 0.0
1594.0 1.0 14.7803 60.7911 0.086 0.0 0.0 0.0
1595.0 1.0 13.1501 58.4689 0.0827 0.0 0.0 0.0
1596.0 1.0 16.1931 62.669 0.0886 0.0 0.0 0.0
1597.0 1.0 19.8882 67.1117 0.0949 0.0 0.0 0.0
1598.0 2.0 17.8233 64.7059 0.0915 51.9039 11.4683 22.5314
1599.0 1.0 18.258 65.227 0.0923 0.0 0.0 0.0
1600.0 1.0 15.9758 62.3882 0.0882 0.0 0.0 0.0
1601.0 1.0 17.932 64.8357 0.0917 0.0 0.0 0.0
1602.0 1.0 19.7795 66.992 0.0948 0.0 0.0 0.0
1603.0 1.0 9.4551 52.3795 0.0741 0.0 0.0 0.0
1604.0 1.0 10.6505 54.5012 0.0771 0.0 0.0 0.0
1605.0 1.0 18.9101 65.9949 0.0933 0.0 0.0 0.0
1606.0 1.0 15.9758 62.388 0.0882 0.0 0.0 0.0
1607.0 1.0 15.215 61.3817 0.0868 0.0 0.0 0.0
1608.0 1.0 19.4535 66.6192 0.0942 0.0 0.0 0.0
1609.0 0.0 0.0 nan 0.0 nan nan nan
1610.0 1.0 13.4762 58.9472 0.0834 0.0 0.0 0.0
1611.0 1.0 9.4551 52.3794 0.0741 0.0 0.0 0.0
1612.0 1.0 13.0415 58.3072 0.0825 0.0 0.0 0.0
1613.0 1.0 14.1282 59.8835 0.0847 0.0 0.0 0.0
1614.0 1.0 14.563 60.4917 0.0856 0.0 0.0 0.0
1615.0 1.0 16.5192 63.0876 0.0892 0.0 0.0 0.0
1616.0 1.0 16.0845 62.529 0.0884 0.0 0.0 0.0
1617.0 1.0 14.3456 60.1894 0.0851 0.0 0.0 0.0
1618.0 1.0 15.3237 61.5264 0.087 0.0 0.0 0.0
1619.0 1.0 14.1282 59.8835 0.0847 0.0 0.0 0.0
1620.0 1.0 14.1282 59.8835 0.0847 0.0 0.0 0.0
1621.0 1.0 16.5192 63.0871 0.0892 0.0 0.0 0.0
1622.0 1.0 15.7584 62.1037 0.0878 0.0 0.0 0.0
1623.0 1.0 17.3886 64.1736 0.0908 0.0 0.0 0.0
1624.0 1.0 10.8679 54.8683 0.0776 0.0 0.0 0.0
1625.0 1.0 13.6935 59.2622 0.0838 0.0 0.0 0.0
1626.0 1.0 17.3886 64.1736 0.0908 0.0 0.0 0.0
1627.0 1.0 18.9101 65.9957 0.0933 0.0 0.0 0.0
1628.0 1.0 13.1501 58.4681 0.0827 0.0 0.0 0.0
1629.0 1.0 17.606 64.4423 0.0912 0.0 0.0 0.0
1630.0 1.0 16.8452 63.4986 0.0898 0.0 0.0 0.0
1631.0 1.0 12.9328 58.1438 0.0822 0.0 0.0 0.0
1632.0 1.0 14.563 60.4915 0.0856 0.0 0.0 0.0
1633.0 1.0 16.7365 63.3623 0.0896 0.0 0.0 0.0
1634.0 1.0 16.3018 62.8095 0.0888 0.0 0.0 0.0
1635.0 1.0 9.5637 52.5796 0.0744 0.0 0.0 0.0
1636.0 1.0 18.3667 65.3558 0.0924 0.0 0.0 0.0
1637.0 1.0 17.4973 64.3091 0.091 0.0 0.0 0.0
1638.0 1.0 14.1282 59.884 0.0847 0.0 0.0 0.0
1639.0 1.0 17.4973 64.3091 0.091 0.0 0.0 0.0
1640.0 1.0 15.9758 62.3875 0.0882 0.0 0.0 0.0
1641.0 1.0 16.0845 62.5282 0.0884 0.0 0.0 0.0
1642.0 1.0 14.3456 60.189 0.0851 0.0 0.0 0.0
1643.0 1.0 18.6928 65.7406 0.093 0.0 0.0 0.0
1644.0 1.0 17.932 64.8361 0.0917 0.0 0.0 0.0
1645.0 1.0 18.1494 65.0979 0.0921 0.0 0.0 0.0
1646.0 1.0 17.0626 63.7721 0.0902 0.0 0.0 0.0
1647.0 1.0 11.52 55.9441 0.0791 0.0 0.0 0.0
1648.0 1.0 12.3894 57.3182 0.0811 0.0 0.0 0.0
1649.0 1.0 17.3886 64.1755 0.0908 0.0 0.0 0.0
1650.0 1.0 16.0845 62.5286 0.0884 0.0 0.0 0.0
1651.0 1.0 13.6935 59.2631 0.0838 0.0 0.0 0.0
1652.0 1.0 17.1712 63.9056 0.0904 0.0 0.0 0.0
1653.0 1.0 19.2361 66.3724 0.0939 0.0 0.0 0.0
1654.0 1.0 17.8233 64.7041 0.0915 0.0 0.0 0.0
1655.0 1.0 16.8452 63.4997 0.0898 0.0 0.0 0.0
1656.0 1.0 15.1064 61.2353 0.0866 0.0 0.0 0.0
1657.0 1.0 9.7811 52.9757 0.0749 0.0 0.0 0.0
1658.0 1.0 17.606 64.4402 0.0912 0.0 0.0 0.0
1659.0 1.0 12.4981 57.485 0.0813 0.0 0.0 0.0
1660.0 1.0 14.9977 61.0869 0.0864 0.0 0.0 0.0
1661.0 1.0 13.6935 59.2631 0.0838 0.0 0.0 0.0
1662.0 1.0 12.172 56.9816 0.0806 0.0 0.0 0.0
1663.0 1.0 7.8249 49.1775 0.0696 0.0 0.0 0.0
1664.0 1.0 19.2361 66.3722 0.0939 0.0 0.0 0.0
1665.0 1.0 13.9109 59.5743 0.0843 0.0 0.0 0.0
1666.0 1.0 14.9977 61.0871 0.0864 0.0 0.0 0.0
1667.0 1.0 13.6935 59.2624 0.0838 0.0 0.0 0.0
1668.0 1.0 8.6943 50.9348 0.0721 0.0 0.0 0.0
1669.0 1.0 17.0626 63.772 0.0902 0.0 0.0 0.0
1670.0 1.0 13.8022 59.4186 0.0841 0.0 0.0 0.0
1671.0 1.0 15.3237 61.5261 0.087 0.0 0.0 0.0
1672.0 1.0 17.8233 64.7063 0.0915 0.0 0.0 0.0
1673.0 1.0 17.0626 63.7706 0.0902 0.0 0.0 0.0
1674.0 1.0 14.563 60.4917 0.0856 0.0 0.0 0.0
1675.0 1.0 13.3675 58.7882 0.0832 0.0 0.0 0.0
1676.0 1.0 18.4754 65.4842 0.0926 0.0 0.0 0.0
1677.0 1.0 17.7146 64.5736 0.0913 0.0 0.0 0.0
1678.0 1.0 16.9539 63.6358 0.09 0.0 0.0 0.0
1679.0 1.0 11.6286 56.121 0.0794 0.0 0.0 0.0
1680.0 1.0 17.0626 63.7706 0.0902 0.0 0.0 0.0
1681.0 1.0 14.889 60.9387 0.0862 0.0 0.0 0.0
1682.0 1.0 17.1712 63.9076 0.0904 0.0 0.0 0.0
1683.0 1.0 12.4981 57.4854 0.0813 0.0 0.0 0.0
1684.0 1.0 18.3667 65.3573 0.0924 0.0 0.0 0.0
1685.0 1.0 16.3018 62.8101 0.0888 0.0 0.0 0.0
1686.0 1.0 11.3026 55.5907 0.0786 0.0 0.0 0.0
1687.0 1.0 17.8233 64.7054 0.0915 0.0 0.0 0.0
1688.0 1.0 14.3456 60.1887 0.0851 0.0 0.0 0.0
1689.0 1.0 15.8671 62.2453 0.088 0.0 0.0 0.0
1690.0 1.0 15.6497 61.9606 0.0876 0.0 0.0 0.0
1691.0 1.0 15.6497 61.9606 0.0876 0.0 0.0 0.0
