No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
83.0 3.0 438.4102 188.178 0.2662 179.321 398.1118 103.4135
84.0 4.0 472.9701 192.9971 0.273 179.2197 407.853 96.1923
85.0 2.0 435.0412 187.6986 0.2655 210.634 547.8543 51.2414
86.0 3.0 397.547 182.1425 0.2576 126.6652 192.2564 60.6661
87.0 1.0 350.0544 174.5795 0.2469 0.0 0.0 0.0
88.0 2.0 391.2437 181.173 0.2563 153.173 279.6565 56.9781
89.0 1.0 406.8934 183.5524 0.2597 0.0 0.0 0.0
90.0 2.0 379.1803 179.29 0.2536 24.1858 6.9001 12.7208
91.0 2.0 436.6714 187.9327 0.2658 41.0958 20.8807 15.5157
92.0 2.0 367.3343 177.4041 0.2509 142.3871 236.633 48.5476
93.0 2.0 391.8957 181.2697 0.2564 199.8791 476.4913 165.3369
94.0 1.0 393.9606 181.5934 0.2569 0.0 0.0 0.0
95.0 2.0 407.2194 183.6028 0.2597 196.4631 466.2639 107.503
96.0 2.0 330.3835 171.2441 0.2422 169.4337 323.4346 85.1309
97.0 1.0 382.4406 179.8039 0.2543 0.0 0.0 0.0
98.0 1.0 274.5226 160.9924 0.2277 0.0 0.0 0.0
99.0 5.0 343.751 173.5234 0.2455 245.6494 688.905 173.8941
100.0 2.0 177.4725 139.2049 0.1969 295.2799 798.5274 131.2186
101.0 2.0 318.7549 169.2131 0.2393 8.9266 0.8871 2.4731
102.0 4.0 190.84 142.614 0.2017 191.1145 342.7143 142.9153
103.0 4.0 356.5751 175.6584 0.2485 174.6948 352.6738 134.1202
104.0 1.0 335.7088 172.1611 0.2435 0.0 0.0 0.0
105.0 2.0 357.6619 175.835 0.2487 182.7535 386.361 117.8594
106.0 1.0 365.7041 177.143 0.2506 0.0 0.0 0.0
107.0 2.0 333.3178 171.7507 0.2429 119.7558 162.0521 66.8453
108.0 2.0 293.1067 164.5439 0.2328 117.0713 148.3758 61.6744
109.0 2.0 373.7464 178.4333 0.2524 40.4124 19.1714 7.653
110.0 2.0 238.3326 153.5798 0.2172 141.7785 203.112 34.7068
111.0 2.0 311.7994 167.9704 0.2376 217.8317 524.3874 65.8464
112.0 1.0 330.0575 171.1871 0.2422 0.0 0.0 0.0
113.0 1.0 305.8221 166.8895 0.2361 0.0 0.0 0.0
114.0 2.0 291.2592 164.2002 0.2323 90.0393 87.5783 60.5958
115.0 1.0 291.2592 164.2008 0.2323 0.0 0.0 0.0
116.0 1.0 295.715 165.0295 0.2334 0.0 0.0 0.0
117.0 1.0 278.3264 161.7332 0.2288 0.0 0.0 0.0
118.0 2.0 228.0081 151.3302 0.2141 155.4907 240.7177 85.4671
119.0 1.0 313.2123 168.2262 0.238 0.0 0.0 0.0
120.0 2.0 289.4116 163.8543 0.2318 200.1441 431.8032 80.9374
121.0 1.0 184.4279 141.0001 0.1994 0.0 0.0 0.0
122.0 3.0 289.5203 163.8719 0.2318 138.1582 205.7895 86.1369
123.0 2.0 258.3295 157.7604 0.2232 155.2432 250.1513 53.0119
124.0 1.0 283.4343 162.7165 0.2302 0.0 0.0 0.0
125.0 1.0 190.5139 142.533 0.2016 0.0 0.0 0.0
126.0 3.0 316.1466 168.7447 0.2387 169.7992 320.11 74.5236
127.0 1.0 300.9316 165.9959 0.2348 0.0 0.0 0.0
128.0 5.0 260.7204 158.247 0.2238 245.5164 627.5746 163.5021
129.0 3.0 254.4171 156.9601 0.222 146.2903 221.0034 71.9946
130.0 2.0 217.6836 149.0114 0.2108 162.8622 260.0324 103.8363
131.0 1.0 283.3256 162.6942 0.2301 0.0 0.0 0.0
132.0 2.0 234.6375 152.7818 0.2161 87.7744 77.4445 69.5505
133.0 1.0 239.8541 153.9059 0.2177 0.0 0.0 0.0
134.0 1.0 209.9674 147.2275 0.2083 0.0 0.0 0.0
135.0 1.0 259.1989 157.9347 0.2234 0.0 0.0 0.0
136.0 2.0 241.0495 154.1613 0.2181 128.3487 167.0854 51.2788
137.0 2.0 267.0238 159.5127 0.2256 156.4442 256.8491 45.8661
138.0 2.0 197.3607 144.2221 0.204 115.665 126.9406 43.6304
139.0 3.0 249.4178 155.9259 0.2206 198.3009 403.404 147.0954
140.0 1.0 216.9229 148.8381 0.2105 0.0 0.0 0.0
141.0 1.0 265.7196 159.2512 0.2253 0.0 0.0 0.0
142.0 3.0 244.962 154.9883 0.2192 146.1874 217.9318 124.2281
143.0 1.0 239.8541 153.9095 0.2177 0.0 0.0 0.0
144.0 2.0 253.1129 156.6923 0.2216 107.5745 119.2991 39.0615
145.0 1.0 270.9362 160.285 0.2267 0.0 0.0 0.0
146.0 1.0 125.9587 124.1694 0.1756 0.0 0.0 0.0
147.0 1.0 169.2129 137.0108 0.1938 0.0 0.0 0.0
148.0 2.0 257.7861 157.6519 0.223 123.1883 157.3981 111.2309
149.0 2.0 269.0887 159.9226 0.2262 106.7014 119.7887 31.1197
150.0 2.0 242.245 154.4194 0.2184 75.5298 57.9546 26.8137
151.0 3.0 252.0261 156.4688 0.2213 212.107 463.1271 81.5464
152.0 2.0 207.6852 146.6942 0.2075 53.8742 28.0118 25.7945
153.0 4.0 206.5984 146.4358 0.2071 200.8833 388.7945 81.6465
154.0 1.0 179.9721 139.8566 0.1978 0.0 0.0 0.0
155.0 1.0 83.0306 108.0657 0.1529 0.0 0.0 0.0
156.0 1.0 176.277 138.8899 0.1965 0.0 0.0 0.0
157.0 1.0 244.2012 154.8349 0.219 0.0 0.0 0.0
158.0 2.0 150.7375 131.831 0.1865 141.4089 173.4361 57.8612
159.0 1.0 205.8376 146.2591 0.2069 0.0 0.0 0.0
160.0 2.0 159.4318 134.3166 0.19 51.5823 23.5135 35.5535
161.0 1.0 188.0143 141.9093 0.2007 0.0 0.0 0.0
162.0 1.0 177.2551 139.1487 0.1968 0.0 0.0 0.0
163.0 3.0 203.338 145.6633 0.206 126.0047 152.1569 50.627
164.0 1.0 195.4045 143.7447 0.2033 0.0 0.0 0.0
165.0 1.0 199.4256 144.7225 0.2047 0.0 0.0 0.0
166.0 1.0 222.0308 149.9941 0.2122 0.0 0.0 0.0
167.0 1.0 154.7586 132.9936 0.1881 0.0 0.0 0.0
168.0 1.0 186.6015 141.551 0.2002 0.0 0.0 0.0
169.0 2.0 197.6867 144.2992 0.2041 126.7619 152.5552 32.7993
170.0 1.0 212.6844 147.8601 0.2092 0.0 0.0 0.0
171.0 1.0 183.1238 140.6677 0.199 0.0 0.0 0.0
172.0 1.0 152.3677 132.3031 0.1872 0.0 0.0 0.0
173.0 1.0 168.6695 136.8623 0.1936 0.0 0.0 0.0
174.0 1.0 227.03 151.1113 0.2138 0.0 0.0 0.0
175.0 1.0 208.8806 146.9735 0.2079 0.0 0.0 0.0
176.0 1.0 200.5124 144.9848 0.2051 0.0 0.0 0.0
177.0 1.0 215.51 148.5099 0.2101 0.0 0.0 0.0
178.0 1.0 197.252 144.1947 0.204 0.0 0.0 0.0
179.0 1.0 116.1776 120.8695 0.171 0.0 0.0 0.0
180.0 3.0 160.0839 134.4997 0.1903 116.598 120.3059 55.0107
181.0 1.0 180.9502 140.109 0.1982 0.0 0.0 0.0
182.0 1.0 221.9221 149.969 0.2121 0.0 0.0 0.0
183.0 1.0 198.0128 144.3835 0.2042 0.0 0.0 0.0
184.0 3.0 175.4076 138.6626 0.1961 141.8054 183.4488 118.6154
185.0 1.0 78.9008 106.2424 0.1503 0.0 0.0 0.0
186.0 2.0 165.8438 136.0959 0.1925 68.8607 42.4573 27.162
187.0 3.0 161.062 134.7742 0.1906 204.9364 372.407 141.9179
188.0 3.0 183.7758 140.8348 0.1992 104.7768 101.7183 83.4705
189.0 1.0 125.3066 123.9562 0.1753 0.0 0.0 0.0
190.0 1.0 146.9337 130.7113 0.1849 0.0 0.0 0.0
191.0 1.0 176.7117 139.0041 0.1966 0.0 0.0 0.0
192.0 1.0 157.5842 133.7961 0.1893 0.0 0.0 0.0
193.0 2.0 193.0135 143.1541 0.2025 89.3561 75.2019 45.6256
194.0 1.0 176.0596 138.837 0.1964 0.0 0.0 0.0
195.0 1.0 191.6007 142.8043 0.202 0.0 0.0 0.0
196.0 2.0 180.9502 140.1068 0.1982 116.1857 124.436 67.7386
197.0 1.0 170.8431 137.4482 0.1944 0.0 0.0 0.0
198.0 2.0 198.5562 144.51 0.2044 32.6868 10.1585 14.3028
199.0 1.0 177.9072 139.321 0.1971 0.0 0.0 0.0
200.0 3.0 196.3826 143.9811 0.2037 100.8596 96.3666 32.0208
201.0 2.0 159.3231 134.289 0.1899 102.0588 92.0236 33.6347
