No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
93.0 2.0 391.9 181.27 0.2564 236.89 669.31 196.26
94.0 0.0 393.96 181.59 0.2569 nan nan nan
95.0 4.0 407.22 183.6 0.2597 328.58 1304.21 228.71
96.0 3.0 330.38 171.24 0.2422 161.89 295.28 117.09
97.0 4.0 382.44 179.8 0.2543 388.51 1785.58 132.73
98.0 1.0 274.52 160.99 0.2277 0.0 0.0 0.0
99.0 2.0 343.75 173.52 0.2455 194.37 431.3 50.73
100.0 0.0 177.47 139.2 0.1969 nan nan nan
101.0 3.0 318.75 169.21 0.2393 182.45 370.57 132.52
102.0 0.0 190.84 142.61 0.2017 nan nan nan
103.0 4.0 356.58 175.66 0.2485 198.64 455.96 130.83
104.0 3.0 335.71 172.16 0.2435 83.14 78.29 61.78
105.0 2.0 357.66 175.84 0.2487 107.75 134.32 35.89
106.0 0.0 365.7 177.14 0.2506 nan nan nan
107.0 0.0 333.32 171.75 0.2429 nan nan nan
108.0 3.0 293.11 164.54 0.2328 128.99 180.13 73.89
109.0 4.0 373.75 178.43 0.2524 210.24 518.88 109.63
110.0 2.0 238.33 153.58 0.2172 195.28 385.33 125.84
111.0 0.0 311.8 167.97 0.2376 nan nan nan
112.0 0.0 330.06 171.19 0.2422 nan nan nan
113.0 2.0 305.82 166.89 0.2361 188.44 389.89 88.25
114.0 5.0 291.26 164.2 0.2323 287.14 890.69 109.23
115.0 5.0 291.26 164.2 0.2323 164.69 292.98 117.75
116.0 0.0 295.71 165.03 0.2334 nan nan nan
117.0 0.0 278.33 161.73 0.2288 nan nan nan
118.0 5.0 228.01 151.33 0.2141 224.95 503.8 108.55
119.0 3.0 313.21 168.23 0.238 168.8 315.37 96.1
120.0 1.0 289.41 163.85 0.2318 0.0 0.0 0.0
121.0 1.0 184.43 141.0 0.1994 0.0 0.0 0.0
122.0 3.0 289.52 163.87 0.2318 224.27 542.27 153.68
123.0 0.0 258.33 157.76 0.2232 nan nan nan
124.0 3.0 283.43 162.72 0.2302 69.12 51.14 29.27
125.0 3.0 190.51 142.53 0.2016 259.12 629.63 191.4
126.0 3.0 316.15 168.74 0.2387 160.91 287.47 111.64
127.0 2.0 300.93 166.0 0.2348 17.22 3.24 7.03
128.0 3.0 260.72 158.25 0.2238 80.83 68.02 65.72
129.0 6.0 254.42 156.96 0.222 154.36 246.04 59.9
130.0 2.0 217.68 149.01 0.2108 124.22 151.28 71.74
131.0 0.0 283.33 162.69 0.2301 nan nan nan
132.0 2.0 234.64 152.78 0.2161 38.26 14.71 17.57
133.0 1.0 239.85 153.91 0.2177 0.0 0.0 0.0
134.0 1.0 209.97 147.23 0.2083 0.0 0.0 0.0
135.0 2.0 259.2 157.93 0.2234 90.84 85.75 41.73
136.0 2.0 241.05 154.16 0.2181 198.05 397.83 137.46
137.0 1.0 267.02 159.51 0.2256 0.0 0.0 0.0
138.0 2.0 197.36 144.22 0.204 187.5 333.59 60.62
139.0 4.0 249.42 155.93 0.2206 197.59 400.51 81.55
140.0 1.0 216.92 148.84 0.2105 0.0 0.0 0.0
141.0 2.0 265.72 159.25 0.2253 135.68 192.87 43.41
142.0 3.0 244.96 154.99 0.2192 295.94 893.13 259.92
143.0 2.0 239.85 153.91 0.2177 42.8 18.55 33.37
144.0 2.0 253.11 156.69 0.2216 206.97 441.59 185.06
145.0 1.0 270.94 160.29 0.2267 0.0 0.0 0.0
146.0 1.0 125.96 124.17 0.1756 0.0 0.0 0.0
147.0 2.0 169.21 137.01 0.1938 46.5 19.49 35.7
148.0 1.0 257.79 157.65 0.223 0.0 0.0 0.0
149.0 1.0 269.09 159.92 0.2262 0.0 0.0 0.0
150.0 3.0 242.25 154.42 0.2184 236.83 569.78 95.2
151.0 2.0 252.03 156.47 0.2213 84.24 73.04 37.93
152.0 2.0 207.69 146.69 0.2075 109.59 115.9 47.17
153.0 6.0 206.6 146.44 0.2071 206.0 408.86 121.75
154.0 2.0 179.97 139.86 0.1978 6.22 0.36 1.81
155.0 1.0 83.03 108.07 0.1529 0.0 0.0 0.0
156.0 1.0 176.28 138.89 0.1965 0.0 0.0 0.0
157.0 1.0 244.2 154.83 0.219 0.0 0.0 0.0
158.0 1.0 150.74 131.83 0.1865 0.0 0.0 0.0
159.0 2.0 205.84 146.26 0.2069 61.01 35.82 27.5
160.0 0.0 159.43 134.32 0.19 nan nan nan
161.0 0.0 188.01 141.91 0.2007 nan nan nan
162.0 0.0 177.26 139.15 0.1968 nan nan nan
163.0 2.0 203.34 145.66 0.206 169.11 274.07 58.46
164.0 2.0 195.4 143.74 0.2033 69.41 45.56 26.28
165.0 2.0 199.43 144.72 0.2047 140.49 187.94 38.4
166.0 1.0 222.03 149.99 0.2122 0.0 0.0 0.0
167.0 0.0 154.76 132.99 0.1881 nan nan nan
168.0 1.0 186.6 141.55 0.2002 0.0 0.0 0.0
169.0 4.0 197.69 144.3 0.2041 187.05 332.18 93.71
