No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
1627.0 0.0 18.91 66.0 0.0933 nan nan nan
1628.0 0.0 13.15 58.47 0.0827 nan nan nan
1629.0 1.0 17.61 64.44 0.0912 0.0 0.0 0.0
1630.0 0.0 16.85 63.5 0.0898 nan nan nan
1631.0 0.0 12.93 58.14 0.0822 nan nan nan
1632.0 0.0 14.56 60.49 0.0856 nan nan nan
1633.0 0.0 16.74 63.36 0.0896 nan nan nan
1634.0 0.0 16.3 62.81 0.0888 nan nan nan
1635.0 0.0 9.56 52.58 0.0744 nan nan nan
1636.0 0.0 18.37 65.36 0.0924 nan nan nan
1637.0 0.0 17.5 64.31 0.091 nan nan nan
1638.0 0.0 14.13 59.88 0.0847 nan nan nan
1639.0 0.0 17.5 64.31 0.091 nan nan nan
1640.0 0.0 15.98 62.39 0.0882 nan nan nan
1641.0 1.0 16.08 62.53 0.0884 0.0 0.0 0.0
1642.0 0.0 14.35 60.19 0.0851 nan nan nan
1643.0 0.0 18.69 65.74 0.093 nan nan nan
1644.0 0.0 17.93 64.84 0.0917 nan nan nan
1645.0 0.0 18.15 65.1 0.0921 nan nan nan
1646.0 0.0 17.06 63.77 0.0902 nan nan nan
1647.0 0.0 11.52 55.94 0.0791 nan nan nan
1648.0 0.0 12.39 57.32 0.0811 nan nan nan
1649.0 0.0 17.39 64.18 0.0908 nan nan nan
1650.0 1.0 16.08 62.53 0.0884 0.0 0.0 0.0
1651.0 0.0 13.69 59.26 0.0838 nan nan nan
1652.0 0.0 17.17 63.91 0.0904 nan nan nan
1653.0 0.0 19.24 66.37 0.0939 nan nan nan
1654.0 0.0 17.82 64.7 0.0915 nan nan nan
1655.0 0.0 16.85 63.5 0.0898 nan nan nan
1656.0 0.0 15.11 61.24 0.0866 nan nan nan
1657.0 0.0 9.78 52.98 0.0749 nan nan nan
1658.0 0.0 17.61 64.44 0.0912 nan nan nan
1659.0 0.0 12.5 57.48 0.0813 nan nan nan
1660.0 0.0 15.0 61.09 0.0864 nan nan nan
1661.0 0.0 13.69 59.26 0.0838 nan nan nan
1662.0 0.0 12.17 56.98 0.0806 nan nan nan
1663.0 0.0 7.82 49.18 0.0696 nan nan nan
1664.0 0.0 19.24 66.37 0.0939 nan nan nan
1665.0 1.0 13.91 59.57 0.0843 0.0 0.0 0.0
1666.0 0.0 15.0 61.09 0.0864 nan nan nan
1667.0 0.0 13.69 59.26 0.0838 nan nan nan
1668.0 0.0 8.69 50.93 0.0721 nan nan nan
1669.0 0.0 17.06 63.77 0.0902 nan nan nan
1670.0 0.0 13.8 59.42 0.0841 nan nan nan
1671.0 0.0 15.32 61.53 0.087 nan nan nan
1672.0 0.0 17.82 64.71 0.0915 nan nan nan
1673.0 0.0 17.06 63.77 0.0902 nan nan nan
1674.0 0.0 14.56 60.49 0.0856 nan nan nan
1675.0 0.0 13.37 58.79 0.0832 nan nan nan
1676.0 1.0 18.48 65.48 0.0926 0.0 0.0 0.0
1677.0 0.0 17.71 64.57 0.0913 nan nan nan
1678.0 0.0 16.95 63.64 0.09 nan nan nan
1679.0 0.0 11.63 56.12 0.0794 nan nan nan
1680.0 0.0 17.06 63.77 0.0902 nan nan nan
1681.0 0.0 14.89 60.94 0.0862 nan nan nan
1682.0 0.0 17.17 63.91 0.0904 nan nan nan
1683.0 0.0 12.5 57.49 0.0813 nan nan nan
1684.0 1.0 18.37 65.36 0.0924 0.0 0.0 0.0
1685.0 0.0 16.3 62.81 0.0888 nan nan nan
1686.0 0.0 11.3 55.59 0.0786 nan nan nan
1687.0 0.0 17.82 64.71 0.0915 nan nan nan
1688.0 0.0 14.35 60.19 0.0851 nan nan nan
1689.0 0.0 15.87 62.25 0.088 nan nan nan
1690.0 0.0 15.65 61.96 0.0876 nan nan nan
1691.0 0.0 15.65 61.96 0.0876 nan nan nan
1692.0 0.0 14.56 60.49 0.0856 nan nan nan
1693.0 0.0 14.45 60.34 0.0854 nan nan nan
1694.0 0.0 15.0 61.09 0.0864 nan nan nan
1695.0 0.0 16.63 63.22 0.0894 nan nan nan
1696.0 0.0 16.95 63.64 0.09 nan nan nan
1697.0 0.0 11.85 56.47 0.0799 nan nan nan
1698.0 0.0 17.28 64.04 0.0906 nan nan nan
1699.0 0.0 14.35 60.19 0.0851 nan nan nan
1700.0 0.0 13.26 58.63 0.0829 nan nan nan
1701.0 0.0 15.87 62.24 0.088 nan nan nan
1702.0 0.0 16.3 62.81 0.0888 nan nan nan
1703.0 0.0 7.06 47.53 0.0672 nan nan nan
1704.0 1.0 10.22 53.75 0.076 0.0 0.0 0.0
1705.0 0.0 18.69 65.74 0.093 nan nan nan
1706.0 0.0 17.5 64.31 0.091 nan nan nan
1707.0 0.0 15.43 61.67 0.0872 nan nan nan
1708.0 0.0 18.69 65.74 0.093 nan nan nan
1709.0 0.0 16.08 62.53 0.0884 nan nan nan
1710.0 0.0 10.32 53.94 0.0763 nan nan nan
1711.0 0.0 14.45 60.34 0.0854 nan nan nan
1712.0 0.0 17.28 64.04 0.0906 nan nan nan
1713.0 0.0 5.98 44.95 0.0636 nan nan nan
1714.0 0.0 8.04 49.63 0.0702 nan nan nan
1715.0 0.0 16.19 62.67 0.0886 nan nan nan
1716.0 0.0 9.13 51.77 0.0732 nan nan nan
1717.0 1.0 15.76 62.1 0.0878 0.0 0.0 0.0
1718.0 0.0 10.43 54.13 0.0766 nan nan nan
1719.0 0.0 11.3 55.59 0.0786 nan nan nan
1720.0 1.0 18.48 65.49 0.0926 0.0 0.0 0.0
1721.0 0.0 15.22 61.38 0.0868 nan nan nan
1722.0 0.0 16.63 63.23 0.0894 nan nan nan
1723.0 0.0 14.78 60.79 0.086 nan nan nan
1724.0 0.0 18.37 65.36 0.0924 nan nan nan
1725.0 1.0 16.63 63.23 0.0894 0.0 0.0 0.0
1726.0 0.0 17.17 63.91 0.0904 nan nan nan
1727.0 0.0 18.48 65.48 0.0926 nan nan nan
1728.0 0.0 16.85 63.5 0.0898 nan nan nan
1729.0 0.0 9.46 52.38 0.0741 nan nan nan
1730.0 0.0 15.54 61.82 0.0874 nan nan nan
1731.0 0.0 8.04 49.63 0.0702 nan nan nan
1732.0 0.0 13.48 58.95 0.0834 nan nan nan
1733.0 0.0 15.87 62.25 0.088 nan nan nan
1734.0 0.0 16.52 63.09 0.0892 nan nan nan
1735.0 0.0 11.74 56.29 0.0796 nan nan nan
1736.0 0.0 18.37 65.36 0.0925 nan nan nan
1737.0 0.0 14.35 60.19 0.0851 nan nan nan
1738.0 0.0 15.98 62.39 0.0882 nan nan nan
1739.0 1.0 14.89 60.94 0.0862 0.0 0.0 0.0
1740.0 0.0 10.76 54.69 0.0774 nan nan nan
1741.0 1.0 15.76 62.1 0.0878 0.0 0.0 0.0
1742.0 0.0 15.43 61.67 0.0872 nan nan nan
1743.0 0.0 15.98 62.39 0.0882 nan nan nan
1744.0 0.0 15.0 61.09 0.0864 nan nan nan
1745.0 0.0 15.32 61.53 0.087 nan nan nan
1746.0 0.0 12.72 57.82 0.0818 nan nan nan
1747.0 0.0 0.0 nan 0.0 nan nan nan
1748.0 0.0 14.13 59.88 0.0847 nan nan nan
1749.0 0.0 14.56 60.49 0.0856 nan nan nan
1750.0 0.0 16.52 63.09 0.0892 nan nan nan
1751.0 0.0 13.91 59.57 0.0843 nan nan nan
1752.0 0.0 11.63 56.12 0.0794 nan nan nan
1753.0 0.0 15.0 61.09 0.0864 nan nan nan
1754.0 0.0 13.15 58.47 0.0827 nan nan nan
1755.0 0.0 12.39 57.32 0.0811 nan nan nan
1756.0 0.0 15.32 61.53 0.087 nan nan nan
1757.0 0.0 15.0 61.09 0.0864 nan nan nan
1758.0 0.0 14.35 60.19 0.0851 nan nan nan
1759.0 0.0 15.0 61.09 0.0864 nan nan nan
1760.0 1.0 13.26 58.63 0.0829 0.0 0.0 0.0
1761.0 0.0 16.95 63.64 0.09 nan nan nan
1762.0 0.0 16.08 62.53 0.0885 nan nan nan
1763.0 0.0 18.26 65.23 0.0923 nan nan nan
1764.0 0.0 9.56 52.58 0.0744 nan nan nan
1765.0 0.0 14.89 60.94 0.0862 nan nan nan
1766.0 0.0 15.22 61.38 0.0868 nan nan nan
1767.0 0.0 8.48 50.51 0.0714 nan nan nan
1768.0 0.0 15.11 61.23 0.0866 nan nan nan
1769.0 1.0 15.98 62.39 0.0882 0.0 0.0 0.0
1770.0 1.0 11.52 55.94 0.0791 0.0 0.0 0.0
1771.0 0.0 13.48 58.95 0.0834 nan nan nan
1772.0 0.0 14.13 59.88 0.0847 nan nan nan
1773.0 0.0 18.48 65.49 0.0926 nan nan nan
1774.0 0.0 15.11 61.23 0.0866 nan nan nan
1775.0 0.0 8.59 50.72 0.0717 nan nan nan
1776.0 1.0 16.52 63.09 0.0892 0.0 0.0 0.0
1777.0 0.0 15.22 61.38 0.0868 nan nan nan
1778.0 0.0 13.58 59.11 0.0836 nan nan nan
1779.0 0.0 15.22 61.38 0.0868 nan nan nan
1780.0 0.0 14.24 60.04 0.0849 nan nan nan
1781.0 0.0 15.43 61.67 0.0872 nan nan nan
1782.0 0.0 15.76 62.1 0.0878 nan nan nan
1783.0 0.0 16.52 63.09 0.0892 nan nan nan
1784.0 0.0 15.65 61.96 0.0876 nan nan nan
1785.0 0.0 16.19 62.67 0.0886 nan nan nan
1786.0 0.0 17.71 64.57 0.0913 nan nan nan
1787.0 0.0 15.32 61.53 0.087 nan nan nan
1788.0 1.0 16.63 63.23 0.0894 0.0 0.0 0.0
1789.0 0.0 11.85 56.47 0.0799 nan nan nan
1790.0 0.0 16.74 63.36 0.0896 nan nan nan
1791.0 1.0 15.22 61.38 0.0868 0.0 0.0 0.0
1792.0 0.0 15.43 61.67 0.0872 nan nan nan
1793.0 0.0 17.06 63.77 0.0902 nan nan nan
1794.0 0.0 15.98 62.39 0.0882 nan nan nan
1795.0 0.0 16.3 62.81 0.0888 nan nan nan
1796.0 0.0 16.63 63.23 0.0894 nan nan nan
1797.0 0.0 15.76 62.1 0.0878 nan nan nan
1798.0 1.0 10.0 53.36 0.0755 0.0 0.0 0.0
1799.0 0.0 11.85 56.47 0.0799 nan nan nan
1800.0 0.0 15.98 62.39 0.0882 nan nan nan
1801.0 0.0 6.41 46.02 0.0651 nan nan nan
1802.0 1.0 11.85 56.47 0.0799 0.0 0.0 0.0
1803.0 0.0 10.11 53.56 0.0758 nan nan nan
1804.0 0.0 8.04 49.63 0.0702 nan nan nan
1805.0 0.0 15.22 61.38 0.0868 nan nan nan
1806.0 0.0 15.65 61.96 0.0876 nan nan nan
1807.0 0.0 8.04 49.63 0.0702 nan nan nan
1808.0 0.0 12.61 57.65 0.0816 nan nan nan
1809.0 0.0 8.48 50.51 0.0714 nan nan nan
1810.0 0.0 15.22 61.38 0.0868 nan nan nan
1811.0 0.0 12.39 57.32 0.0811 nan nan nan
1812.0 0.0 16.74 63.36 0.0896 nan nan nan
1813.0 0.0 17.06 63.77 0.0902 nan nan nan
1814.0 0.0 10.76 54.69 0.0774 nan nan nan
1815.0 0.0 13.69 59.26 0.0838 nan nan nan
1816.0 0.0 15.22 61.38 0.0868 nan nan nan
1817.0 1.0 15.76 62.1 0.0879 0.0 0.0 0.0
1818.0 0.0 14.56 60.49 0.0856 nan nan nan
1819.0 0.0 12.82 57.98 0.082 nan nan nan
1820.0 0.0 15.22 61.38 0.0868 nan nan nan
1821.0 0.0 15.22 61.38 0.0868 nan nan nan
1822.0 0.0 17.71 64.57 0.0913 nan nan nan
1823.0 1.0 12.72 57.82 0.0818 0.0 0.0 0.0
1824.0 0.0 9.56 52.58 0.0744 nan nan nan
1825.0 0.0 4.78 41.73 0.059 nan nan nan
1826.0 0.0 16.08 62.53 0.0885 nan nan nan
1827.0 0.0 15.0 61.09 0.0864 nan nan nan
1828.0 0.0 16.52 63.09 0.0892 nan nan nan
1829.0 0.0 15.43 61.67 0.0872 nan nan nan
1830.0 0.0 15.0 61.09 0.0864 nan nan nan
1831.0 1.0 14.78 60.79 0.086 0.0 0.0 0.0
1832.0 1.0 14.78 60.79 0.086 0.0 0.0 0.0
1833.0 1.0 12.17 56.98 0.0806 0.0 0.0 0.0
1834.0 0.0 14.89 60.94 0.0862 nan nan nan
1835.0 0.0 14.24 60.04 0.0849 nan nan nan
1836.0 0.0 13.58 59.11 0.0836 nan nan nan
1837.0 0.0 15.54 61.82 0.0874 nan nan nan
1838.0 0.0 15.22 61.38 0.0868 nan nan nan
1839.0 0.0 16.3 62.81 0.0888 nan nan nan
1840.0 0.0 14.45 60.34 0.0854 nan nan nan
1841.0 0.0 13.15 58.47 0.0827 nan nan nan
1842.0 0.0 16.85 63.5 0.0898 nan nan nan
1843.0 0.0 14.13 59.88 0.0847 nan nan nan
1844.0 0.0 14.45 60.34 0.0854 nan nan nan
1845.0 0.0 13.15 58.47 0.0827 nan nan nan
1846.0 0.0 13.91 59.57 0.0843 nan nan nan
1847.0 0.0 9.24 51.98 0.0735 nan nan nan
1848.0 0.0 15.0 61.09 0.0864 nan nan nan
1849.0 0.0 12.82 57.98 0.082 nan nan nan
1850.0 0.0 14.24 60.04 0.0849 nan nan nan
1851.0 0.0 15.11 61.24 0.0866 nan nan nan
1852.0 0.0 15.11 61.23 0.0866 nan nan nan
1853.0 0.0 16.3 62.81 0.0888 nan nan nan
1854.0 0.0 13.91 59.57 0.0843 nan nan nan
1855.0 0.0 8.59 50.72 0.0717 nan nan nan
1856.0 0.0 12.82 57.98 0.082 nan nan nan
1857.0 0.0 14.24 60.04 0.0849 nan nan nan
1858.0 0.0 13.91 59.57 0.0843 nan nan nan
1859.0 0.0 10.43 54.13 0.0766 nan nan nan
1860.0 0.0 15.98 62.39 0.0882 nan nan nan
1861.0 0.0 16.52 63.09 0.0892 nan nan nan
1862.0 0.0 14.67 60.64 0.0858 nan nan nan
1863.0 0.0 13.15 58.47 0.0827 nan nan nan
1864.0 0.0 12.82 57.98 0.082 nan nan nan
1865.0 0.0 15.54 61.82 0.0874 nan nan nan
1866.0 0.0 15.22 61.38 0.0868 nan nan nan
1867.0 0.0 13.69 59.26 0.0838 nan nan nan
1868.0 0.0 13.8 59.42 0.0841 nan nan nan
1869.0 0.0 14.35 60.19 0.0851 nan nan nan
1870.0 0.0 14.13 59.88 0.0847 nan nan nan
1871.0 0.0 17.71 64.57 0.0913 nan nan nan
1872.0 0.0 11.09 55.23 0.0781 nan nan nan
1873.0 0.0 13.26 58.63 0.0829 nan nan nan
1874.0 0.0 14.56 60.49 0.0856 nan nan nan
1875.0 0.0 16.19 62.67 0.0886 nan nan nan
1876.0 0.0 13.04 58.31 0.0825 nan nan nan
1877.0 0.0 14.56 60.49 0.0856 nan nan nan
1878.0 0.0 14.56 60.49 0.0856 nan nan nan
1879.0 0.0 12.28 57.15 0.0808 nan nan nan
1880.0 0.0 15.22 61.38 0.0868 nan nan nan
1881.0 0.0 11.41 55.77 0.0789 nan nan nan
1882.0 0.0 8.04 49.63 0.0702 nan nan nan
1883.0 0.0 11.52 55.95 0.0791 nan nan nan
1884.0 1.0 13.58 59.11 0.0836 0.0 0.0 0.0
1885.0 0.0 13.37 58.79 0.0832 nan nan nan
1886.0 1.0 16.41 62.95 0.089 0.0 0.0 0.0
1887.0 0.0 12.06 56.81 0.0804 nan nan nan
1888.0 1.0 14.02 59.73 0.0845 0.0 0.0 0.0
1889.0 1.0 11.95 56.64 0.0801 0.0 0.0 0.0
1890.0 0.0 13.26 58.63 0.0829 nan nan nan
1891.0 0.0 12.06 56.81 0.0804 nan nan nan
1892.0 0.0 13.91 59.58 0.0843 nan nan nan
1893.0 0.0 12.72 57.82 0.0818 nan nan nan
1894.0 0.0 13.69 59.26 0.0838 nan nan nan
1895.0 0.0 11.3 55.59 0.0786 nan nan nan
1896.0 0.0 10.65 54.5 0.0771 nan nan nan
1897.0 0.0 17.06 63.77 0.0902 nan nan nan
1898.0 1.0 13.37 58.79 0.0832 0.0 0.0 0.0
1899.0 1.0 14.78 60.79 0.086 0.0 0.0 0.0
1900.0 0.0 12.39 57.32 0.0811 nan nan nan
1901.0 0.0 14.02 59.73 0.0845 nan nan nan
1902.0 0.0 14.67 60.64 0.0858 nan nan nan
1903.0 0.0 13.04 58.31 0.0825 nan nan nan
1904.0 0.0 13.48 58.95 0.0834 nan nan nan
1905.0 0.0 15.32 61.53 0.087 nan nan nan
1906.0 0.0 12.17 56.98 0.0806 nan nan nan
1907.0 0.0 13.91 59.57 0.0843 nan nan nan
1908.0 0.0 14.56 60.49 0.0856 nan nan nan
1909.0 0.0 14.56 60.49 0.0856 nan nan nan
1910.0 0.0 9.24 51.98 0.0735 nan nan nan
1911.0 0.0 11.63 56.12 0.0794 nan nan nan
1912.0 0.0 12.93 58.14 0.0822 nan nan nan
1913.0 0.0 12.93 58.14 0.0822 nan nan nan
1914.0 0.0 13.8 59.42 0.084 nan nan nan
1915.0 0.0 11.85 56.47 0.0799 nan nan nan
1916.0 0.0 16.41 62.95 0.089 nan nan nan
1917.0 0.0 12.39 57.32 0.0811 nan nan nan
1918.0 1.0 5.65 44.12 0.0624 0.0 0.0 0.0
1919.0 0.0 5.98 44.95 0.0636 nan nan nan
1920.0 0.0 9.56 52.58 0.0744 nan nan nan
1921.0 0.0 12.93 58.14 0.0822 nan nan nan
1922.0 0.0 11.52 55.94 0.0791 nan nan nan
1923.0 0.0 14.45 60.34 0.0854 nan nan nan
1924.0 0.0 14.78 60.79 0.086 nan nan nan
1925.0 0.0 9.46 52.38 0.0741 nan nan nan
1926.0 0.0 15.11 61.24 0.0866 nan nan nan
1927.0 0.0 12.06 56.81 0.0804 nan nan nan
1928.0 0.0 10.0 53.36 0.0755 nan nan nan
1929.0 0.0 14.89 60.94 0.0862 nan nan nan
1930.0 0.0 10.32 53.94 0.0763 nan nan nan
1931.0 0.0 14.24 60.04 0.0849 nan nan nan
1932.0 0.0 8.15 49.85 0.0705 nan nan nan
1933.0 0.0 15.22 61.38 0.0868 nan nan nan
1934.0 0.0 10.98 55.05 0.0779 nan nan nan
1935.0 0.0 12.28 57.15 0.0808 nan nan nan
1936.0 0.0 12.39 57.32 0.0811 nan nan nan
1937.0 0.0 13.04 58.31 0.0825 nan nan nan
1938.0 0.0 14.13 59.88 0.0847 nan nan nan
1939.0 0.0 14.02 59.73 0.0845 nan nan nan
1940.0 0.0 9.67 52.78 0.0747 nan nan nan
1941.0 0.0 15.11 61.24 0.0866 nan nan nan
1942.0 0.0 9.02 51.56 0.0729 nan nan nan
1943.0 0.0 14.13 59.88 0.0847 nan nan nan
1944.0 0.0 10.98 55.05 0.0779 nan nan nan
1945.0 0.0 9.35 52.18 0.0738 nan nan nan
1946.0 0.0 15.11 61.24 0.0866 nan nan nan
1947.0 0.0 11.09 55.23 0.0781 nan nan nan
1948.0 0.0 13.91 59.57 0.0843 nan nan nan
1949.0 0.0 12.5 57.49 0.0813 nan nan nan
1950.0 0.0 14.56 60.49 0.0856 nan nan nan
1951.0 0.0 15.11 61.24 0.0866 nan nan nan
1952.0 0.0 15.54 61.82 0.0874 nan nan nan
1953.0 0.0 13.15 58.47 0.0827 nan nan nan
1954.0 0.0 12.72 57.82 0.0818 nan nan nan
1955.0 0.0 14.13 59.88 0.0847 nan nan nan
1956.0 0.0 14.45 60.34 0.0854 nan nan nan
1957.0 0.0 12.28 57.15 0.0808 nan nan nan
1958.0 0.0 11.74 56.29 0.0796 nan nan nan
1959.0 0.0 14.02 59.73 0.0845 nan nan nan
1960.0 0.0 14.78 60.79 0.086 nan nan nan
1961.0 0.0 14.67 60.64 0.0858 nan nan nan
1962.0 1.0 14.24 60.04 0.0849 0.0 0.0 0.0
1963.0 0.0 14.78 60.79 0.086 nan nan nan
1964.0 0.0 10.54 54.31 0.0768 nan nan nan
1965.0 0.0 14.35 60.19 0.0851 nan nan nan
1966.0 0.0 8.48 50.51 0.0714 nan nan nan
1967.0 0.0 11.52 55.94 0.0791 nan nan nan
1968.0 1.0 11.95 56.64 0.0801 0.0 0.0 0.0
1969.0 0.0 8.91 51.36 0.0726 nan nan nan
1970.0 0.0 12.93 58.14 0.0822 nan nan nan
1971.0 0.0 14.35 60.19 0.0851 nan nan nan
1972.0 0.0 13.58 59.11 0.0836 nan nan nan
1973.0 0.0 12.72 57.82 0.0818 nan nan nan
1974.0 0.0 14.56 60.49 0.0856 nan nan nan
1975.0 0.0 12.72 57.82 0.0818 nan nan nan
1976.0 0.0 13.91 59.58 0.0843 nan nan nan
1977.0 0.0 12.06 56.81 0.0804 nan nan nan
1978.0 0.0 5.22 42.96 0.0608 nan nan nan
1979.0 0.0 7.06 47.53 0.0672 nan nan nan
1980.0 0.0 13.04 58.31 0.0825 nan nan nan
1981.0 1.0 15.76 62.1 0.0878 0.0 0.0 0.0
1982.0 1.0 13.37 58.79 0.0832 0.0 0.0 0.0
1983.0 0.0 12.93 58.14 0.0822 nan nan nan
1984.0 0.0 8.04 49.63 0.0702 nan nan nan
1985.0 0.0 9.78 52.98 0.0749 nan nan nan
1986.0 0.0 10.65 54.5 0.0771 nan nan nan
1987.0 0.0 11.52 55.95 0.0791 nan nan nan
1988.0 0.0 14.13 59.88 0.0847 nan nan nan
1989.0 0.0 5.22 42.96 0.0608 nan nan nan
1990.0 0.0 9.46 52.38 0.0741 nan nan nan
1991.0 0.0 13.26 58.63 0.0829 nan nan nan
1992.0 0.0 14.45 60.34 0.0854 nan nan nan
1993.0 0.0 12.72 57.82 0.0818 nan nan nan
1994.0 0.0 9.02 51.56 0.0729 nan nan nan
1995.0 0.0 11.85 56.47 0.0799 nan nan nan
1996.0 0.0 14.67 60.64 0.0858 nan nan nan
1997.0 0.0 10.65 54.5 0.0771 nan nan nan
1998.0 0.0 13.48 58.95 0.0834 nan nan nan
1999.0 0.0 7.72 48.95 0.0692 nan nan nan
2000.0 0.0 0.0 nan 0.0 nan nan nan
2001.0 0.0 15.43 61.67 0.0872 nan nan nan
2002.0 0.0 15.32 61.53 0.087 nan nan nan
2003.0 0.0 13.8 59.42 0.084 nan nan nan
2004.0 0.0 15.32 61.53 0.087 nan nan nan
2005.0 0.0 9.35 52.18 0.0738 nan nan nan
2006.0 0.0 11.63 56.12 0.0794 nan nan nan
2007.0 0.0 13.58 59.11 0.0836 nan nan nan
2008.0 1.0 13.15 58.47 0.0827 0.0 0.0 0.0
2009.0 1.0 9.13 51.77 0.0732 0.0 0.0 0.0
2010.0 1.0 12.82 57.98 0.082 0.0 0.0 0.0
2011.0 0.0 10.98 55.05 0.0779 nan nan nan
2012.0 0.0 9.46 52.38 0.0741 nan nan nan
2013.0 0.0 12.72 57.82 0.0818 nan nan nan
2014.0 0.0 15.11 61.23 0.0866 nan nan nan
2015.0 0.0 14.56 60.49 0.0856 nan nan nan
2016.0 0.0 13.58 59.11 0.0836 nan nan nan
2017.0 0.0 10.65 54.5 0.0771 nan nan nan
2018.0 0.0 12.5 57.48 0.0813 nan nan nan
2019.0 0.0 13.26 58.63 0.0829 nan nan nan
2020.0 0.0 11.52 55.94 0.0791 nan nan nan
2021.0 0.0 8.69 50.94 0.072 nan nan nan
2022.0 0.0 14.45 60.34 0.0854 nan nan nan
2023.0 0.0 13.04 58.31 0.0825 nan nan nan
2024.0 0.0 10.76 54.69 0.0774 nan nan nan
2025.0 0.0 10.65 54.5 0.0771 nan nan nan
2026.0 0.0 13.37 58.79 0.0832 nan nan nan
2027.0 0.0 5.11 42.66 0.0603 nan nan nan
2028.0 0.0 13.69 59.26 0.0838 nan nan nan
2029.0 0.0 14.78 60.79 0.086 nan nan nan
2030.0 0.0 13.48 58.95 0.0834 nan nan nan
2031.0 0.0 13.26 58.63 0.0829 nan nan nan
2032.0 0.0 14.13 59.88 0.0847 nan nan nan
2033.0 0.0 14.35 60.19 0.0851 nan nan nan
2034.0 0.0 14.02 59.73 0.0845 nan nan nan
2035.0 0.0 13.48 58.95 0.0834 nan nan nan
2036.0 1.0 14.35 60.19 0.0851 0.0 0.0 0.0
2037.0 0.0 11.63 56.12 0.0794 nan nan nan
2038.0 0.0 9.02 51.56 0.0729 nan nan nan
2039.0 0.0 13.48 58.95 0.0834 nan nan nan
2040.0 1.0 14.78 60.79 0.086 0.0 0.0 0.0
2041.0 0.0 14.56 60.49 0.0856 nan nan nan
2042.0 0.0 12.39 57.32 0.0811 nan nan nan
2043.0 0.0 11.52 55.94 0.0791 nan nan nan
2044.0 1.0 12.72 57.82 0.0818 0.0 0.0 0.0
2045.0 0.0 13.48 58.95 0.0834 nan nan nan
2046.0 0.0 12.17 56.98 0.0806 nan nan nan
2047.0 0.0 11.41 55.77 0.0789 nan nan nan
2048.0 0.0 12.61 57.65 0.0815 nan nan nan
2049.0 0.0 4.78 41.73 0.059 nan nan nan
2050.0 0.0 10.65 54.5 0.0771 nan nan nan
2051.0 0.0 13.15 58.47 0.0827 nan nan nan
2052.0 0.0 12.61 57.65 0.0815 nan nan nan
2053.0 0.0 12.5 57.48 0.0813 nan nan nan
2054.0 0.0 13.26 58.63 0.0829 nan nan nan
2055.0 0.0 12.61 57.65 0.0815 nan nan nan
2056.0 0.0 8.59 50.72 0.0717 nan nan nan
2057.0 1.0 13.69 59.26 0.0838 0.0 0.0 0.0
2058.0 0.0 13.91 59.58 0.0843 nan nan nan
2059.0 0.0 12.39 57.32 0.0811 nan nan nan
2060.0 0.0 14.13 59.88 0.0847 nan nan nan
2061.0 0.0 14.24 60.04 0.0849 nan nan nan
2062.0 0.0 12.39 57.32 0.0811 nan nan nan
2063.0 0.0 13.26 58.63 0.0829 nan nan nan
2064.0 0.0 13.91 59.57 0.0843 nan nan nan
2065.0 0.0 8.69 50.94 0.0721 nan nan nan
2066.0 0.0 13.26 58.63 0.0829 nan nan nan
2067.0 0.0 10.43 54.13 0.0766 nan nan nan
2068.0 0.0 10.43 54.13 0.0766 nan nan nan
2069.0 0.0 12.61 57.65 0.0815 nan nan nan
2070.0 0.0 11.63 56.12 0.0794 nan nan nan
2071.0 0.0 12.06 56.81 0.0804 nan nan nan
2072.0 0.0 14.24 60.04 0.0849 nan nan nan
2073.0 0.0 14.02 59.73 0.0845 nan nan nan
2074.0 0.0 12.5 57.48 0.0813 nan nan nan
2075.0 0.0 12.28 57.15 0.0808 nan nan nan
2076.0 0.0 12.93 58.15 0.0822 nan nan nan
2077.0 0.0 12.61 57.65 0.0815 nan nan nan
2078.0 0.0 7.93 49.4 0.0699 nan nan nan
2079.0 0.0 13.26 58.63 0.0829 nan nan nan
2080.0 0.0 13.26 58.63 0.0829 nan nan nan
2081.0 0.0 13.04 58.31 0.0825 nan nan nan
2082.0 0.0 13.91 59.57 0.0843 nan nan nan
2083.0 0.0 9.78 52.98 0.0749 nan nan nan
2084.0 0.0 12.61 57.65 0.0815 nan nan nan
2085.0 0.0 11.41 55.77 0.0789 nan nan nan
2086.0 0.0 13.04 58.31 0.0825 nan nan nan
2087.0 0.0 11.74 56.29 0.0796 nan nan nan
2088.0 0.0 14.35 60.19 0.0851 nan nan nan
2089.0 0.0 11.63 56.12 0.0794 nan nan nan
2090.0 0.0 12.39 57.32 0.0811 nan nan nan
2091.0 0.0 9.78 52.98 0.0749 nan nan nan
2092.0 0.0 9.02 51.56 0.0729 nan nan nan
2093.0 0.0 12.72 57.82 0.0818 nan nan nan
2094.0 0.0 12.82 57.98 0.082 nan nan nan
2095.0 0.0 7.28 48.01 0.0679 nan nan nan
2096.0 0.0 14.56 60.49 0.0856 nan nan nan
2097.0 1.0 14.89 60.94 0.0862 0.0 0.0 0.0
2098.0 0.0 10.54 54.31 0.0768 nan nan nan
2099.0 0.0 11.3 55.59 0.0786 nan nan nan
2100.0 0.0 7.72 48.95 0.0692 nan nan nan
2101.0 0.0 12.61 57.65 0.0816 nan nan nan
