No. Number_particles M200 sigma200 R200 Sigma M_sigma Sigma_LoS Offset offset_log a_major b_inter c_minor major_dispersion intermediate_dispersion minor_dispersion
2111.0 104.0 11.3026 55.59 0.0786 84.7413 26.2648 54.8369 0.00193 -2.71493 0.02253 0.01779 0.01216 48.44485 56.13474 41.02533
2112.0 51.0 5.5426 43.8374 0.062 59.7139 10.2843 34.4755 0.00829 -2.0817 0.01787 0.01583 0.01356 36.17105 34.92044 32.21747
2113.0 73.0 7.9336 49.4039 0.0699 69.0972 15.5191 36.6307 0.00976 -2.01056 0.02015 0.01461 0.01462 37.82583 33.22141 47.32836
2114.0 124.0 13.4762 58.9464 0.0834 86.3729 28.9339 49.0122 0.00884 -2.05358 0.02509 0.01848 0.01337 57.45637 48.10832 42.94919
2115.0 113.0 12.2807 57.1497 0.0808 91.9269 31.7747 53.0352 0.00254 -2.5944 0.01988 0.01775 0.01078 57.23823 55.2202 46.09856
2116.0 122.0 13.2588 58.6295 0.0829 82.753 26.4144 49.4057 0.0092 -2.03603 0.02476 0.01751 0.01431 50.94174 52.04332 39.30003
2117.0 87.0 9.4551 52.3792 0.0741 72.7809 18.255 44.5916 0.00702 -2.15384 0.02164 0.01919 0.01735 42.34619 45.52103 37.8378
2118.0 110.0 11.9547 56.6401 0.0801 78.3083 22.851 45.5941 0.01283 -1.89171 0.02225 0.02009 0.01563 45.48788 47.54519 42.45582
2119.0 120.0 13.0415 58.3073 0.0825 85.946 28.3356 48.7241 0.01224 -1.9124 0.0209 0.01754 0.01722 48.26504 51.6241 48.9096
2120.0 131.0 14.2369 60.0365 0.0849 101.3278 40.5548 58.409 0.00741 -2.12992 0.01943 0.01754 0.0159 58.72886 62.67824 53.75578
2121.0 125.0 13.5848 59.1059 0.0836 81.0629 25.5528 49.361 0.01119 -1.95113 0.02067 0.01788 0.01816 49.91715 40.59253 49.31252
2122.0 113.0 12.2807 57.1497 0.0808 88.9588 29.7559 51.5509 0.00696 -2.15713 0.02226 0.01682 0.01462 51.19363 55.28409 47.29218
2123.0 48.0 5.2166 42.9605 0.0608 71.8955 14.61 38.5648 0.01333 -1.87525 0.01588 0.01179 0.00831 36.07191 45.05591 42.8689
2124.0 88.0 9.5637 52.5796 0.0744 78.9552 21.5652 40.7742 0.00843 -2.07431 0.01951 0.01835 0.01456 41.84463 47.95676 46.72364
2125.0 126.0 13.6935 59.264 0.0838 85.0384 28.1944 45.4366 0.01338 -1.8737 0.02446 0.01883 0.0149 56.70887 44.61753 44.99894
2126.0 124.0 13.4762 58.9461 0.0834 90.8404 32.0048 51.0253 0.00649 -2.18796 0.02512 0.01833 0.0122 58.13465 52.31578 46.21046
2127.0 119.0 12.9328 58.1429 0.0823 98.8516 37.3823 59.8084 0.00667 -2.17571 0.01888 0.01648 0.01378 51.73878 61.91605 57.10641
2128.0 97.0 10.5418 54.3138 0.0768 84.0618 25.2519 47.9632 0.00812 -2.09039 0.02129 0.01602 0.01333 49.47378 52.30658 43.39066
2129.0 130.0 14.1282 59.8822 0.0847 85.3026 28.6693 49.0588 0.01066 -1.97224 0.02173 0.02013 0.01662 47.29827 51.87342 48.46186
2130.0 128.0 13.9109 59.5741 0.0843 85.5681 28.6988 45.4526 0.01123 -1.94973 0.02077 0.01981 0.01791 47.59072 53.94485 46.33547
2131.0 90.0 9.7811 52.9747 0.0749 81.9359 23.3991 46.6324 0.01084 -1.96505 0.02122 0.01633 0.01406 55.98108 46.76065 37.32352
2132.0 64.0 6.9554 47.2844 0.0669 67.5618 14.2001 36.4203 0.00676 -2.16984 0.0198 0.01609 0.01176 45.44513 39.1171 31.13171
2133.0 114.0 12.3894 57.3177 0.0811 79.8768 24.061 48.4114 0.00326 -2.48615 0.02367 0.01649 0.01583 49.04725 46.90995 42.12038
2134.0 89.0 9.6724 52.7783 0.0747 75.0697 19.5683 45.2058 0.00735 -2.13374 0.02417 0.01838 0.01456 46.34058 39.06732 44.29166
2135.0 96.0 10.4332 54.1275 0.0766 85.4511 26.0025 48.4288 0.00774 -2.11118 0.02055 0.01792 0.0159 45.09788 46.5188 55.71421
2136.0 122.0 13.2588 58.6288 0.0829 86.3875 28.7862 52.1389 0.00719 -2.14334 0.02226 0.01793 0.01488 49.13948 53.01043 47.3075
2137.0 52.0 5.6513 44.1221 0.0624 57.4898 9.5944 33.3181 0.0091 -2.04118 0.02028 0.0174 0.01249 31.26843 33.78005 34.44234
2138.0 126.0 13.6935 59.264 0.0838 85.2563 28.3391 47.3967 0.014 -1.85377 0.02457 0.01991 0.01467 43.48746 54.60402 48.94769
2139.0 123.0 13.3675 58.7882 0.0832 81.1574 25.4757 45.0964 0.0082 -2.08598 0.02279 0.02091 0.01662 52.37489 40.48312 46.95225
2140.0 117.0 12.7154 57.8169 0.0818 81.6331 25.3485 49.0998 0.00573 -2.24157 0.02419 0.0176 0.01286 48.88833 48.69071 43.62455
2141.0 140.0 15.215 61.3802 0.0868 99.1204 39.6774 56.2691 0.0038 -2.42068 0.0207 0.01746 0.01397 55.36074 64.25269 51.29947
2142.0 103.0 11.1939 55.4113 0.0784 88.3047 28.4284 51.68 0.01151 -1.93902 0.02043 0.0168 0.01547 51.3744 55.53535 45.54356
2143.0 108.0 11.7373 56.2943 0.0796 84.2078 26.263 44.5383 0.00818 -2.08742 0.02154 0.01817 0.01622 51.42321 49.8006 44.34531
2144.0 117.0 12.7154 57.8169 0.0818 83.4625 26.4974 50.0662 0.01541 -1.8121 0.02666 0.01919 0.01603 50.14212 51.58772 42.31384
2145.0 123.0 13.3675 58.7882 0.0832 88.5494 30.3278 47.6419 0.00882 -2.05443 0.01716 0.01517 0.01435 52.7665 52.62358 47.82729
2146.0 99.0 10.7592 54.6846 0.0774 88.2626 28.0287 40.8565 0.0098 -2.00857 0.02287 0.01925 0.01704 65.68279 45.44365 37.56247
2147.0 113.0 12.2807 57.1499 0.0808 86.6277 28.2167 50.6851 0.00496 -2.30453 0.0217 0.01814 0.01283 52.32404 55.85775 40.57676
2148.0 103.0 11.1939 55.4113 0.0784 86.6779 27.3906 53.0815 0.00577 -2.23888 0.0197 0.01823 0.01525 50.49635 50.60619 49.01217
2149.0 106.0 11.52 55.9444 0.0791 91.1507 30.5814 44.0023 0.00864 -2.06369 0.02144 0.01953 0.01529 48.29247 66.51876 39.38969
2150.0 119.0 12.9328 58.1451 0.0822 82.702 26.1636 49.445 0.01077 -1.96797 0.02088 0.01878 0.01613 49.80158 44.74652 48.55068
2151.0 125.0 13.5848 59.1061 0.0836 93.8515 34.2509 53.3927 0.01736 -1.76054 0.02757 0.0146 0.01403 61.47597 49.57354 50.70764
2152.0 74.0 8.0422 49.6292 0.0702 80.7123 21.2707 44.8983 0.00409 -2.38866 0.02514 0.02007 0.01379 39.60157 38.01477 59.16985
2153.0 113.0 12.2807 57.1499 0.0808 86.5296 28.1528 54.1005 0.01047 -1.98014 0.03069 0.016 0.01066 63.45656 44.56614 38.39912
2154.0 116.0 12.6067 57.6515 0.0815 87.9089 29.3121 48.3012 0.00976 -2.01063 0.01941 0.01894 0.0159 50.73592 50.62784 50.89849
2155.0 124.0 13.4762 58.9472 0.0834 84.6773 27.8083 46.7307 0.00589 -2.22957 0.02582 0.01986 0.01892 55.4026 45.9695 44.58256
2156.0 98.0 10.6505 54.5007 0.0771 79.8267 22.8488 44.8822 0.00778 -2.10923 0.02481 0.015 0.01052 46.24253 51.01809 40.38665
2157.0 115.0 12.4981 57.4851 0.0813 95.6866 34.6285 64.0331 0.00459 -2.33829 0.02506 0.01563 0.0126 70.72703 41.54555 49.2704
2158.0 118.0 12.9328 58.1451 0.0822 92.4653 32.7057 52.4891 0.00376 -2.42429 0.01755 0.01585 0.01562 52.36873 58.09624 49.31713
2159.0 76.0 8.2596 50.0715 0.0708 89.5378 26.4114 44.7048 0.00329 -2.48241 0.01805 0.016 0.01438 64.96414 44.33199 42.79428
2160.0 132.0 14.3456 60.1895 0.0851 92.6178 33.9677 50.5173 0.00771 -2.11296 0.01895 0.01637 0.01423 56.04447 51.91624 52.36197
2161.0 109.0 11.846 56.4677 0.0799 90.3403 30.3203 49.248 0.01356 -1.86775 0.02549 0.01927 0.01592 51.41301 56.44034 48.29655
2162.0 59.0 6.412 46.0188 0.0651 62.3902 11.7858 33.6334 0.01071 -1.97038 0.02091 0.01663 0.01186 33.80408 39.63281 34.33741
2163.0 116.0 12.6067 57.6515 0.0815 84.9772 27.3896 46.2461 0.00936 -2.02882 0.02239 0.0197 0.01328 53.05732 53.17924 39.7242
2164.0 94.0 10.2158 53.7485 0.076 78.7576 21.9344 40.9842 0.00992 -2.0033 0.02291 0.0207 0.01573 47.19838 46.74478 42.30829
2165.0 112.0 12.172 56.9807 0.0806 101.855 38.893 65.6785 0.00527 -2.27833 0.02396 0.02 0.01873 72.9156 53.13737 47.26717
2166.0 36.0 3.9124 39.0323 0.0552 53.6003 7.3779 34.4975 0.00327 -2.48591 0.01498 0.01285 0.01052 31.18023 26.87967 34.3259
2167.0 104.0 11.3026 55.5906 0.0786 80.5155 23.7101 44.9503 0.00819 -2.08685 0.01797 0.01522 0.0152 42.98216 46.69733 49.54433
2168.0 102.0 11.0852 55.2326 0.0781 84.4253 25.9 49.0747 0.00673 -2.17215 0.01922 0.0187 0.01362 54.47815 48.1429 42.91885
2169.0 119.0 12.9328 58.1456 0.0822 93.5225 33.4572 57.7738 0.01211 -1.9167 0.02176 0.0135 0.01174 63.06081 51.43587 46.08839
2170.0 110.0 11.9547 56.6405 0.0801 84.0723 26.3384 51.9776 0.01315 -1.88118 0.02366 0.01965 0.01366 53.00665 47.4743 44.77326
2171.0 121.0 13.1501 58.4691 0.0827 82.8045 26.3746 48.9448 0.005 -2.30102 0.02149 0.01892 0.01647 42.89276 54.39849 45.36074
2172.0 59.0 6.412 46.0198 0.0651 55.7636 9.4148 30.818 0.00327 -2.48568 0.02571 0.01415 0.01043 33.89521 29.51195 33.01126
2173.0 99.0 10.7592 54.6858 0.0774 78.9327 22.4153 46.2629 0.00898 -2.04693 0.02153 0.01851 0.01389 45.24855 47.2491 44.16403
2174.0 97.0 10.5418 54.3149 0.0768 80.183 22.9743 41.181 0.01133 -1.94591 0.02405 0.01665 0.01217 53.4765 46.95681 36.9409
2175.0 126.0 13.6935 59.2619 0.0838 95.4779 35.5443 53.5875 0.00337 -2.47261 0.02042 0.01791 0.01516 48.82729 53.36305 62.32428
2176.0 85.0 9.2377 51.976 0.0735 74.4216 18.9389 45.1826 0.01394 -1.85567 0.02688 0.01717 0.01448 50.63288 43.90674 32.35864
2177.0 83.0 9.0203 51.5648 0.0729 76.2438 19.7208 42.0109 0.00626 -2.20337 0.0205 0.01827 0.0122 38.18474 48.43823 44.81948
2178.0 137.0 14.889 60.9393 0.0862 90.737 33.0096 48.6201 0.00947 -2.02356 0.02479 0.01523 0.01479 59.37247 47.57552 49.44378
2179.0 113.0 12.2807 57.1502 0.0808 85.9089 27.75 50.1267 0.00679 -2.16834 0.02256 0.01423 0.01416 48.87331 44.37031 54.98197
2180.0 132.0 14.3456 60.1895 0.0851 94.925 35.6811 54.5355 0.00796 -2.09923 0.02145 0.01778 0.01568 55.47725 56.53438 52.31535
2181.0 48.0 5.2166 42.9603 0.0608 63.0885 11.25 36.272 0.01644 -1.78415 0.01724 0.01756 0.01447 33.73447 41.91205 32.94731
2182.0 126.0 13.6935 59.2619 0.0838 83.7148 27.3255 48.0755 0.00479 -2.31971 0.02142 0.0166 0.01568 52.7079 47.4406 44.49092
2183.0 96.0 10.4332 54.1274 0.0766 145.6873 75.5832 71.1326 0.0088 -2.05563 0.01603 0.01615 0.0137 95.88492 79.68173 75.37705
2184.0 76.0 8.2596 50.0718 0.0708 76.1907 19.1239 45.3876 0.00548 -2.26147 0.02593 0.01759 0.01177 46.10381 39.69599 45.86607
2185.0 109.0 11.846 56.4684 0.0799 80.8282 24.2709 45.5656 0.00651 -2.18648 0.0201 0.01722 0.01448 48.07614 47.87835 43.92659
2186.0 93.0 10.1071 53.557 0.0758 76.465 20.6026 42.8258 0.00554 -2.25626 0.02182 0.01423 0.01159 46.43542 43.74811 42.15157
2187.0 122.0 13.2588 58.6291 0.0829 87.5751 29.5828 52.2516 0.00822 -2.08501 0.02066 0.01804 0.01616 52.57293 44.59643 54.00597
2188.0 21.0 2.2823 32.6129 0.0461 46.1112 4.5624 28.0244 0.00504 -2.29738 0.01316 0.00865 0.00619 27.19238 30.47022 21.40997
2189.0 110.0 11.9547 56.6399 0.0801 84.878 26.8461 42.8979 0.01246 -1.90445 0.02364 0.01779 0.01509 53.98442 47.79127 44.78778
2190.0 95.0 10.3245 53.9383 0.0763 79.0955 22.2012 48.0807 0.01121 -1.95028 0.02154 0.01763 0.01729 43.62206 49.06958 44.10656
2191.0 99.0 10.7592 54.6859 0.0774 86.3933 26.8528 48.8094 0.00729 -2.13723 0.01978 0.02063 0.01219 51.80107 44.98523 52.50505
2192.0 122.0 13.2588 58.6291 0.0829 83.5535 26.9282 47.0677 0.00618 -2.20883 0.02466 0.02124 0.01473 49.2172 51.80483 43.30263
2193.0 113.0 12.2807 57.1502 0.0808 89.7272 30.2716 45.6381 0.00812 -2.09065 0.02354 0.01618 0.01326 59.31809 51.73115 43.08397
2194.0 119.0 12.9328 58.1439 0.0822 100.4331 38.5867 61.3987 0.00621 -2.20696 0.02705 0.01314 0.01128 81.74221 42.36274 40.13005
2195.0 114.0 12.3894 57.3171 0.0811 80.1768 24.2426 42.942 0.01225 -1.91177 0.02056 0.01818 0.01667 47.80556 49.70501 40.89442
2196.0 105.0 11.4113 55.769 0.0789 77.849 22.2358 45.5702 0.00693 -2.15932 0.01988 0.01922 0.01564 42.49795 49.48843 42.48857
2197.0 93.0 10.1071 53.5577 0.0758 71.9328 18.2322 46.7005 0.01083 -1.96535 0.02876 0.01917 0.01503 34.03674 48.34195 40.97426
2198.0 113.0 12.2807 57.1508 0.0808 84.2047 26.6594 44.3978 0.01133 -1.94575 0.02525 0.01907 0.01467 56.80363 48.51856 38.85515
2199.0 91.0 9.8898 53.1705 0.0752 80.0128 22.3956 54.4533 0.0053 -2.27609 0.02383 0.01554 0.01272 54.97888 41.12294 41.08857
2200.0 123.0 13.3675 58.7888 0.0832 85.4076 28.2133 47.8265 0.01334 -1.8747 0.02137 0.01941 0.01471 49.46182 53.34009 44.75285
2201.0 92.0 9.9984 53.3652 0.0755 80.2934 22.6348 47.0085 0.0181 -1.74227 0.02498 0.01767 0.01653 49.28784 48.08534 41.29812
2202.0 110.0 11.9547 56.64 0.0801 73.2743 20.0076 45.4787 0.01067 -1.97196 0.03033 0.0206 0.01589 47.28546 40.68575 38.44319
2203.0 111.0 12.0633 56.8123 0.0804 89.8965 30.2044 49.3804 0.0086 -2.06561 0.02478 0.01694 0.01254 63.03062 45.56177 45.08496
2204.0 95.0 10.3245 53.9381 0.0763 80.8714 23.2096 48.2745 0.00618 -2.20914 0.01773 0.01477 0.01428 47.60883 46.18216 46.26872
2205.0 130.0 14.1282 59.8835 0.0847 87.3068 30.031 50.5801 0.00555 -2.25571 0.0215 0.01698 0.01516 51.42053 52.40513 47.24515
2206.0 108.0 11.7373 56.2949 0.0796 85.1373 26.8454 43.9347 0.00624 -2.20448 0.02516 0.01943 0.01282 52.33328 51.60414 42.97201
2207.0 50.0 5.4339 43.5499 0.0616 72.1381 14.9097 37.2805 0.00778 -2.109 0.01901 0.01137 0.01064 46.73284 38.80931 38.90738
2208.0 121.0 13.1501 58.467 0.0827 87.9755 29.7737 53.7071 0.00598 -2.22319 0.01944 0.01719 0.0159 55.41075 50.76981 45.73586
2209.0 106.0 11.52 55.9447 0.0791 99.2125 36.2298 47.4351 0.00506 -2.29563 0.02177 0.01804 0.01574 43.53952 73.4034 50.59014
2210.0 115.0 12.4981 57.4851 0.0813 85.9385 27.9324 50.2524 0.00353 -2.45263 0.02018 0.01793 0.01556 50.93347 49.24499 48.64297
2211.0 123.0 13.3675 58.7891 0.0832 85.9843 28.5953 48.829 0.00945 -2.02452 0.01873 0.01641 0.0145 50.36204 48.2724 50.26674
2212.0 116.0 12.6067 57.6522 0.0815 98.45 36.7622 58.2778 0.00194 -2.71128 0.02256 0.02159 0.01871 66.26033 57.84925 44.22025
2213.0 90.0 9.7811 52.9757 0.0749 76.435 20.3619 41.4328 0.00292 -2.53432 0.01924 0.01591 0.01364 49.80805 42.53333 39.40025
2214.0 94.0 10.2158 53.7483 0.076 81.1363 23.2795 48.6212 0.00378 -2.42237 0.02467 0.01628 0.01558 48.80871 45.75364 45.90658
2215.0 124.0 13.4762 58.9465 0.0834 92.9133 33.4816 55.8126 0.01612 -1.79271 0.0258 0.01567 0.01255 56.17661 57.93897 46.04503
2216.0 63.0 6.8468 47.0366 0.0665 72.5788 16.3017 44.6476 0.00783 -2.10619 0.01696 0.01282 0.00864 40.0869 43.30862 42.25021
2217.0 127.0 13.8022 59.4195 0.084 85.7925 28.7733 50.1543 0.0089 -2.05067 0.0232 0.01718 0.01311 50.95199 51.98764 45.4042
2218.0 72.0 7.8249 49.178 0.0696 83.6122 22.6191 57.5495 0.00544 -2.26473 0.01865 0.01503 0.01416 57.49158 43.89453 41.94026
2219.0 108.0 11.7373 56.2946 0.0796 84.3068 26.3246 52.0841 0.00922 -2.03532 0.02429 0.01775 0.01454 49.69177 51.25551 44.84688
2220.0 114.0 12.3894 57.3185 0.0811 81.286 24.9167 50.024 0.0073 -2.13672 0.02344 0.01625 0.01481 47.69569 49.73799 43.11217
2221.0 68.0 7.3902 48.2503 0.0682 78.6935 19.6577 40.3647 0.00584 -2.23352 0.0203 0.02016 0.01039 46.25876 50.97212 38.13964
2222.0 130.0 14.1282 59.8844 0.0847 85.4876 28.7917 50.323 0.00748 -2.12583 0.02084 0.0178 0.01491 48.67599 46.40313 52.77815
2223.0 53.0 5.76 44.4035 0.0628 61.9705 11.2191 37.4585 0.0143 -1.84464 0.02095 0.01539 0.01048 38.12981 30.63107 38.05514
2224.0 124.0 13.4762 58.9465 0.0834 85.6495 28.4512 49.2213 0.0071 -2.14855 0.02112 0.01905 0.01798 55.2703 43.62705 48.76179
2225.0 86.0 9.3464 52.1785 0.0738 74.5525 19.0803 39.9073 0.00781 -2.1074 0.02106 0.02075 0.01464 40.87201 42.14073 45.95341
2226.0 83.0 9.0203 51.5639 0.0729 85.7126 24.9242 49.2082 0.00677 -2.16953 0.02095 0.01704 0.01356 60.47258 45.17307 40.60925
2227.0 101.0 10.9766 55.0504 0.0779 105.6387 40.4196 57.8192 0.00417 -2.37951 0.02347 0.02015 0.01812 77.19788 48.04902 53.77094
2228.0 103.0 11.1939 55.4126 0.0784 81.8282 24.4102 43.9132 0.00467 -2.33064 0.02023 0.01674 0.01647 45.74843 46.4278 49.47122
2229.0 59.0 6.412 46.0202 0.0651 65.151 12.8512 39.5184 0.00858 -2.06656 0.02256 0.01508 0.01185 35.96596 38.33959 38.48612
2230.0 83.0 9.0203 51.564 0.0729 74.3111 18.7343 38.6978 0.00765 -2.1162 0.02181 0.01711 0.01483 44.01409 46.90703 37.21062
2231.0 106.0 11.52 55.9447 0.0791 79.4378 23.2266 46.3797 0.01538 -1.81301 0.0199 0.02001 0.01916 43.78565 41.45407 51.71785
2232.0 72.0 7.8249 49.1781 0.0696 125.2099 50.7236 53.4727 0.00555 -2.25605 0.02118 0.01744 0.01427 81.60386 69.91195 64.27005
2233.0 83.0 9.0203 51.564 0.0729 73.5895 18.3722 42.6042 0.00934 -2.02952 0.02247 0.0187 0.01697 40.86962 45.59932 40.81406
2234.0 107.0 11.6286 56.1205 0.0794 83.9132 25.9984 48.9183 0.00377 -2.42403 0.02044 0.01579 0.0147 56.5668 44.22056 43.43004
2235.0 121.0 13.1501 58.4687 0.0827 81.136 25.3227 44.072 0.01234 -1.90859 0.02069 0.01788 0.01864 43.77099 50.43215 46.08406
2236.0 90.0 9.7811 52.9745 0.0749 71.9648 18.0507 39.9986 0.0076 -2.11938 0.02251 0.01827 0.01781 40.13774 42.63006 41.83978
2237.0 102.0 11.0852 55.2319 0.0781 78.7322 22.5253 45.1629 0.00936 -2.02859 0.01985 0.01827 0.01382 41.79629 47.86149 46.48765
2238.0 116.0 12.6067 57.652 0.0815 84.4286 27.0366 52.3463 0.01022 -1.99058 0.02315 0.0177 0.01462 53.66179 49.54675 42.35226
2239.0 123.0 13.3675 58.7887 0.0832 93.5577 33.8548 53.2552 0.00828 -2.08199 0.02171 0.01689 0.01508 59.25422 51.96704 50.41236
2240.0 101.0 10.9766 55.0504 0.0779 78.587 22.369 45.062 0.0066 -2.18024 0.02273 0.01714 0.01566 43.05827 48.01538 44.90458
2241.0 97.0 10.5418 54.3145 0.0768 84.6973 25.6345 44.4441 0.00567 -2.24666 0.0194 0.01524 0.01256 50.33042 52.22433 43.73905
2242.0 108.0 11.7373 56.2946 0.0796 81.9391 24.8666 45.0909 0.01005 -1.99785 0.02039 0.01622 0.0162 43.7063 47.62823 50.35195
2243.0 131.0 14.2369 60.0353 0.0849 105.9763 44.363 56.0767 0.00894 -2.04889 0.01814 0.01848 0.0116 58.01891 71.59281 52.33795
2244.0 113.0 12.2807 57.1507 0.0808 78.6291 23.2459 44.0619 0.0064 -2.19361 0.02118 0.01856 0.01673 47.23905 39.53753 48.86502
2245.0 114.0 12.3894 57.3183 0.0811 88.284 29.3918 56.6296 0.00136 -2.86567 0.02261 0.01668 0.01418 52.27891 43.18984 56.52972
2246.0 72.0 7.8249 49.1774 0.0696 73.4419 17.4516 42.5623 0.0134 -1.87301 0.01842 0.01796 0.01403 43.07382 38.21534 45.58458
2247.0 94.0 10.2158 53.7493 0.076 78.9709 22.0527 42.5663 0.00533 -2.27293 0.02157 0.02044 0.01353 41.15474 51.78513 43.13918
2248.0 116.0 12.6067 57.6501 0.0816 81.3323 25.0916 46.4234 0.00888 -2.05161 0.01756 0.01719 0.01501 47.83054 47.2798 45.7363
2249.0 115.0 12.4981 57.4852 0.0813 83.4084 26.3118 48.8213 0.00769 -2.11431 0.02161 0.01874 0.01441 48.27439 49.10506 47.06623
2250.0 101.0 10.9766 55.051 0.0779 151.2266 82.8309 80.5793 0.0132 -1.87952 0.02721 0.01885 0.01646 75.61252 88.09599 96.90883
2251.0 110.0 11.9547 56.6412 0.0801 79.1512 23.3447 45.1699 0.01727 -1.76279 0.01799 0.01751 0.01403 50.63001 45.9702 39.85302
2252.0 104.0 11.3026 55.5909 0.0786 76.7033 21.5179 43.555 0.00537 -2.27024 0.0233 0.01919 0.0137 43.92286 42.96523 45.91476
2253.0 132.0 14.3456 60.1889 0.0851 91.0515 32.8292 57.2594 0.002 -2.6993 0.02098 0.01528 0.01378 57.85435 47.95581 51.41485
2254.0 118.0 12.8241 57.9813 0.082 80.586 24.7725 47.3585 0.00804 -2.09453 0.02273 0.01925 0.01875 48.29472 46.53624 44.67778
2255.0 94.0 10.2158 53.7493 0.076 74.4842 19.618 41.3338 0.0124 -1.90675 0.02127 0.01848 0.01681 47.30741 44.81863 36.072
2256.0 114.0 12.3894 57.3188 0.0811 85.164 27.3506 51.5891 0.00844 -2.07372 0.0184 0.01742 0.01349 51.46252 49.33854 46.58558
2257.0 110.0 11.9547 56.6412 0.0801 81.2366 24.591 46.0058 0.01088 -1.9634 0.02182 0.01771 0.01225 48.81501 49.49567 42.03159
2258.0 111.0 12.0633 56.8108 0.0804 82.4455 25.4062 47.2607 0.00621 -2.20673 0.02037 0.01861 0.01488 45.44621 48.16457 49.11289
2259.0 121.0 13.1501 58.4677 0.0827 80.7516 25.0842 43.1825 0.00697 -2.15657 0.02474 0.02023 0.01588 52.94733 46.56852 39.35443
2260.0 101.0 10.9766 55.051 0.0779 79.5145 22.8997 46.8221 0.01147 -1.94048 0.02106 0.01937 0.01828 43.58229 46.92951 47.12501
2261.0 116.0 12.6067 57.6501 0.0816 80.9514 24.8571 46.8194 0.01273 -1.89533 0.02144 0.01834 0.01553 46.60485 47.57213 46.02181
2262.0 101.0 10.9766 55.0508 0.0779 81.7915 24.2301 48.0297 0.00789 -2.10284 0.0228 0.01633 0.0136 50.17333 46.17387 45.17139
2263.0 116.0 12.6067 57.6516 0.0815 89.6732 30.5004 53.6045 0.00824 -2.08417 0.0203 0.01989 0.015 56.40991 45.88769 52.47411
2264.0 89.0 9.6724 52.7783 0.0747 77.6068 20.9133 46.481 0.00746 -2.12737 0.01761 0.01506 0.01347 46.96978 44.7706 42.57047
2265.0 94.0 10.2158 53.749 0.076 85.9153 26.102 52.82 0.0133 -1.87614 0.02445 0.01637 0.01184 53.66694 50.1099 44.61271
2266.0 104.0 11.3026 55.5913 0.0786 82.3598 24.8082 49.7178 0.01041 -1.98263 0.02329 0.01763 0.01655 48.64582 47.7811 46.19186
2267.0 98.0 10.6505 54.5011 0.0771 75.1488 20.2491 42.9925 0.01293 -1.88825 0.028 0.02144 0.01862 47.20104 40.95173 41.74166
2268.0 69.0 7.4988 48.4857 0.0686 70.7133 15.9503 40.4134 0.00302 -2.51947 0.02092 0.01579 0.0123 47.31872 41.43051 32.3238
2269.0 113.0 12.2807 57.1491 0.0808 86.7201 28.2777 48.3032 0.01109 -1.95507 0.02102 0.01757 0.01432 53.46591 50.48312 45.96978
2270.0 62.0 6.7381 46.786 0.0662 75.3516 17.4779 44.0262 0.01285 -1.89119 0.01601 0.01463 0.01214 45.4658 42.17757 42.79927
2271.0 117.0 12.7154 57.8153 0.0818 86.7605 28.6344 50.2527 0.00716 -2.14538 0.02316 0.01639 0.01422 60.17506 48.8036 39.04547
2272.0 115.0 12.4981 57.4865 0.0813 87.1239 28.7069 53.1208 0.00367 -2.4348 0.02347 0.01814 0.01432 51.85974 55.30346 42.92642
2273.0 100.0 10.8679 54.8685 0.0776 76.916 21.3566 46.234 0.01026 -1.98903 0.02232 0.01833 0.01473 46.73347 42.29035 44.08612
2274.0 116.0 12.6067 57.6516 0.0815 84.7079 27.2162 51.2035 0.00366 -2.43692 0.02517 0.01765 0.01301 47.9965 53.71038 44.57527
2275.0 90.0 9.7811 52.9749 0.0749 70.8436 17.4923 41.7855 0.00451 -2.34568 0.02141 0.01862 0.01777 46.3069 39.34936 36.41585
2276.0 122.0 13.2588 58.6277 0.0829 91.9954 32.6462 60.6938 0.00379 -2.42169 0.02319 0.01814 0.01426 66.97474 47.9167 41.00653
2277.0 78.0 8.4769 50.5081 0.0714 111.5822 41.372 54.3621 0.01095 -1.96072 0.02123 0.01495 0.01256 59.99012 45.51602 82.34112
2278.0 90.0 9.7811 52.9749 0.0749 76.8897 20.6055 42.1355 0.00784 -2.10542 0.01878 0.01665 0.01609 46.69276 43.04514 43.34662
2279.0 121.0 13.1501 58.4678 0.0827 102.9472 40.7686 53.82 0.00579 -2.23728 0.01875 0.01607 0.01357 70.11656 51.83152 54.72927
2280.0 115.0 12.4981 57.4857 0.0813 90.2854 30.8289 53.7842 0.00312 -2.50609 0.01962 0.01684 0.01364 50.69258 58.92164 45.9342
2281.0 117.0 12.7154 57.8177 0.0818 79.3442 23.9463 41.5943 0.00895 -2.04834 0.02204 0.01844 0.01308 46.03385 52.66053 37.46
2282.0 104.0 11.3026 55.591 0.0786 85.0159 26.4344 43.5283 0.01172 -1.93093 0.03155 0.0163 0.01445 59.3599 46.35196 39.44121
2283.0 81.0 8.803 51.147 0.0723 75.6871 19.2767 47.2398 0.0071 -2.14884 0.01965 0.01409 0.01143 48.91984 39.33844 42.28332
2284.0 93.0 10.1071 53.5574 0.0758 80.5944 22.8875 48.9654 0.00669 -2.17471 0.0208 0.01539 0.01313 51.63122 43.23657 44.27499
2285.0 120.0 13.0415 58.3066 0.0825 89.5613 30.7703 50.1414 0.0067 -2.17371 0.02404 0.01614 0.01294 61.03081 49.82096 42.59508
