No. Number_particles M200 sigma200 R200 Sigma M_sigma Sigma_LoS Offset offset_log a_major b_inter c_minor major_dispersion intermediate_dispersion minor_dispersion
38.0 8913.0 968.6541 245.0955 0.3467 376.3389 2283.7913 202.5833 0.00648 -2.18874 0.10543 0.08189 0.06545 246.63981 207.92177 193.82553
39.0 9155.0 994.9543 247.29 0.3498 417.723 2839.0095 224.1461 0.00358 -2.44656 0.08892 0.06876 0.05989 267.80813 236.77705 216.12018
40.0 8442.0 917.4663 240.6983 0.3405 385.811 2357.1823 219.0879 0.01126 -1.94835 0.08826 0.07741 0.06595 231.37269 227.88342 208.29301
41.0 7747.0 841.9346 233.9053 0.3309 359.0182 1983.4953 202.2923 0.04753 -1.32301 0.1213 0.08006 0.06487 240.4424 195.30224 181.48972
42.0 7725.0 839.5436 233.6838 0.3305 387.245 2305.4609 232.6829 0.00419 -2.37796 0.08286 0.07165 0.05703 242.75394 224.57495 201.48268
43.0 7736.0 840.7391 233.7932 0.3307 370.3647 2109.8755 213.2245 0.01403 -1.85306 0.08621 0.07653 0.06663 223.33138 224.28671 192.32412
44.0 8570.0 931.3772 241.9104 0.3422 395.3492 2487.5871 242.38 0.01907 -1.71974 0.09141 0.07707 0.06687 250.62207 231.3078 199.96564
45.0 6601.0 717.3887 221.7459 0.3137 368.0169 1975.9625 207.4843 0.00778 -2.10908 0.07814 0.06378 0.05611 232.22227 206.3641 197.28937
46.0 6519.0 708.477 220.8277 0.3124 355.8672 1839.9011 204.6183 0.0169 -1.77202 0.08909 0.07001 0.06065 211.42343 218.79503 184.58153
47.0 5610.0 609.688 210.0464 0.2971 332.4251 1527.0895 175.3929 0.00844 -2.07359 0.0815 0.06836 0.05323 204.61884 199.60712 169.68957
48.0 3735.0 405.9153 183.4119 0.2594 299.8633 1084.9929 161.4639 0.00346 -2.46104 0.06915 0.04926 0.04412 199.78156 161.44409 154.72928
49.0 8157.0 886.4929 237.9564 0.3366 389.5997 2376.39 234.6344 0.00704 -2.15216 0.08034 0.06679 0.06288 237.66898 222.66825 213.82284
50.0 7283.0 791.5076 229.1412 0.3241 386.187 2248.2478 211.2572 0.03774 -1.42322 0.08537 0.07852 0.04948 245.81477 243.27128 171.85636
51.0 6661.0 723.9094 222.4188 0.3146 359.6854 1893.1576 203.1764 0.02308 -1.63683 0.09767 0.07063 0.05827 241.80335 199.19352 176.71075
52.0 6818.0 740.972 224.1513 0.3171 355.3032 1861.7333 200.7509 0.03152 -1.50139 0.09602 0.06877 0.05191 201.80006 234.37157 174.89159
53.0 5747.0 624.577 211.7404 0.2995 325.3361 1474.4945 188.7467 0.02134 -1.6708 0.08046 0.07111 0.06795 184.85325 199.04466 179.03661
54.0 5480.0 595.5598 208.4077 0.2948 346.5151 1646.4262 199.8175 0.00711 -2.14803 0.07092 0.07016 0.05448 203.36646 208.55634 187.66738
55.0 5582.0 606.645 209.6962 0.2966 341.917 1612.8538 214.7063 0.00763 -2.11759 0.0787 0.05931 0.05609 222.91194 184.79958 181.84228
56.0 4361.0 473.9482 193.1294 0.2732 315.5528 1265.2549 175.4723 0.02118 -1.67405 0.06794 0.06268 0.05269 192.23524 180.94424 172.85367
57.0 5114.0 555.7833 203.6602 0.2881 328.2056 1443.3951 191.9387 0.01488 -1.82729 0.07343 0.06299 0.0558 196.45789 188.75767 183.01299
58.0 5503.0 598.0594 208.7015 0.2952 335.9678 1549.845 170.5283 0.01804 -1.7438 0.08794 0.06851 0.05262 219.32533 184.59086 175.20548
59.0 4832.0 525.1359 199.846 0.2827 332.3328 1452.2026 169.3311 0.05448 -1.2638 0.10418 0.06357 0.0484 164.5353 239.72484 160.95108
60.0 2697.0 293.1067 164.5465 0.2327 259.4248 728.5703 144.8609 0.01585 -1.79988 0.0645 0.05245 0.04263 150.54691 157.38989 140.94426
61.0 3016.0 327.7752 170.791 0.2416 268.3977 809.4753 155.395 0.00472 -2.32605 0.05892 0.05266 0.05144 156.77493 154.28378 153.80328
62.0 5747.0 624.577 211.7375 0.2995 339.0221 1601.2022 194.0073 0.00755 -2.12224 0.07335 0.06868 0.05556 203.75751 201.37625 181.291
63.0 5235.0 568.9335 205.2553 0.2903 329.9295 1469.9927 181.7447 0.04014 -1.3964 0.08659 0.07791 0.06022 211.80978 181.5396 176.16324
64.0 5622.0 610.9921 210.1924 0.2973 342.3614 1620.9557 203.6661 0.00927 -2.03285 0.07207 0.06639 0.05305 212.80031 199.69116 179.02731
65.0 5765.0 626.5332 211.9658 0.2998 352.8309 1735.983 185.1483 0.00878 -2.05675 0.08803 0.05657 0.04541 241.42132 192.31652 170.9378
66.0 5980.0 649.8992 214.5683 0.3035 338.695 1619.3183 197.4869 0.00317 -2.4995 0.08289 0.06473 0.04738 219.42597 200.1618 162.79365
67.0 3199.0 347.6635 174.1774 0.2464 290.5331 967.3122 172.262 0.00654 -2.18473 0.0717 0.05088 0.04319 188.66299 158.20898 154.22605
68.0 3306.0 359.2921 176.1003 0.2491 276.6223 886.5466 149.2753 0.02037 -1.69102 0.08148 0.04963 0.04712 180.55469 149.86765 146.49082
69.0 5297.0 575.6716 206.06 0.2915 317.7508 1368.8644 193.9299 0.01002 -1.99892 0.07736 0.06365 0.06157 199.20198 175.05964 175.03784
70.0 5317.0 577.8452 206.3184 0.2919 324.8656 1432.6603 177.245 0.00697 -2.15649 0.08523 0.05752 0.05598 215.51703 172.39034 171.38166
71.0 5133.0 557.8482 203.9155 0.2884 326.0057 1425.8239 190.2354 0.01869 -1.72839 0.07981 0.0664 0.05163 206.45861 194.34824 160.88297
72.0 4621.0 502.2047 196.8954 0.2785 299.6416 1163.0908 169.3305 0.00459 -2.33844 0.07894 0.06547 0.05829 179.72019 166.30524 172.70869
73.0 2980.0 323.8628 170.1124 0.2406 275.2958 848.1803 163.34 0.00456 -2.34097 0.05987 0.05622 0.04283 168.24786 163.35937 144.2018
74.0 4261.0 463.0803 191.6426 0.2711 297.8809 1118.8129 202.1272 0.03956 -1.4027 0.09397 0.07098 0.05185 196.51355 168.66241 147.202
75.0 3046.0 331.0356 171.3556 0.2424 260.337 764.0998 145.3955 0.02122 -1.67331 0.07718 0.05741 0.04781 159.97159 149.04551 141.31484
76.0 4947.0 537.634 201.4206 0.2849 309.8396 1272.1924 173.8625 0.01447 -1.8396 0.0852 0.06491 0.06029 192.58735 171.77675 171.4743
77.0 4939.0 536.7645 201.31 0.2848 298.8281 1182.7584 169.7328 0.0212 -1.67376 0.08653 0.06694 0.05709 186.40428 171.32385 158.74453
78.0 4571.0 498.9443 196.4676 0.2779 315.7581 1288.7805 166.2397 0.00668 -2.17497 0.0767 0.05926 0.04291 205.94754 181.81181 155.67022
79.0 4775.0 518.9412 199.0601 0.2816 319.3428 1335.5617 180.3135 0.03931 -1.40554 0.09193 0.05899 0.045 209.39752 183.52555 156.36766
80.0 3549.0 385.701 180.3116 0.2551 289.8038 996.3496 172.483 0.01372 -1.86255 0.06639 0.06226 0.04946 180.08838 162.19505 158.89365
81.0 1957.0 212.6844 147.8597 0.2092 236.4986 544.1181 139.8707 0.00961 -2.01735 0.0541 0.04845 0.04543 134.50178 134.70391 140.34135
82.0 4474.0 486.2289 194.7828 0.2755 295.82 1121.4885 145.4854 0.01862 -1.72995 0.09324 0.05779 0.04159 203.3245 166.05016 136.36706
83.0 4034.0 438.4102 188.178 0.2662 312.9891 1212.8334 185.3391 0.00962 -2.01676 0.07159 0.05899 0.0516 191.99382 183.72211 165.36841
84.0 4352.0 472.9701 192.9971 0.273 310.711 1225.8727 161.0993 0.02478 -1.60595 0.07765 0.06241 0.05311 190.77237 186.88351 158.81373
85.0 4003.0 435.0412 187.6986 0.2655 305.8738 1155.2946 170.6469 0.01293 -1.88856 0.07137 0.05542 0.04837 193.90023 169.70708 164.80588
86.0 3658.0 397.547 182.1425 0.2576 300.5065 1082.1151 176.0214 0.02284 -1.64121 0.06922 0.05865 0.051 189.43647 168.0062 161.83905
87.0 3221.0 350.0544 174.5795 0.2469 284.4149 929.0816 161.1439 0.00487 -2.31254 0.06312 0.04788 0.04619 181.64922 154.99516 154.50536
88.0 3600.0 391.2437 181.173 0.2563 286.8169 980.5498 165.9059 0.01165 -1.9337 0.06441 0.05842 0.05134 175.78373 162.4945 157.98586
89.0 3744.0 406.8934 183.5524 0.2597 307.5881 1142.6143 177.9864 0.00691 -2.16052 0.05471 0.05498 0.04933 184.19838 177.48354 170.82452
90.0 3132.0 379.1803 179.29 0.2536 292.6612 1010.3312 160.8891 0.02165 -1.66459 0.06103 0.05048 0.04185 183.44417 165.6435 156.7196
91.0 4018.0 436.6714 187.9327 0.2658 301.6932 1125.3332 162.0125 0.02118 -1.67416 0.08398 0.05494 0.04388 204.08222 169.32455 143.86944
92.0 3380.0 367.3343 177.4041 0.2509 288.8706 973.9592 158.7541 0.00998 -2.00074 0.07005 0.05247 0.05013 188.27453 156.42631 153.39411
93.0 3606.0 391.8957 181.2697 0.2564 307.0117 1124.1646 200.3417 0.00672 -2.17284 0.07367 0.05133 0.04151 207.79098 169.04028 150.01491
94.0 3625.0 393.9606 181.5934 0.2569 292.1757 1019.8606 177.5507 0.00611 -2.21405 0.06525 0.05496 0.04456 177.60383 177.20617 149.73814
95.0 3747.0 407.2194 183.6028 0.2597 313.244 1185.3195 184.9001 0.00703 -2.15295 0.06952 0.04779 0.04468 204.29254 167.90554 167.91098
96.0 3040.0 330.3835 171.2441 0.2422 266.384 799.4727 152.6248 0.01206 -1.91868 0.06826 0.0519 0.04526 168.23041 149.03785 142.99201
97.0 3519.0 382.4406 179.8039 0.2543 283.6045 951.463 175.1583 0.00976 -2.01076 0.06863 0.06501 0.04121 179.47613 171.08981 137.6521
98.0 2356.0 274.5226 160.9924 0.2277 262.1045 727.64 158.5502 0.02587 -1.5872 0.06151 0.051 0.04564 143.00044 174.20372 133.80105
