mass M200 vel_disp group_number subhalo_number zform alpha
1730.709716796875 1302.08056640625 235.61195373535156 45.0 1398.0 0.7076007355803262 1236.135208537086
2234.6533203125 1864.4932861328125 263.04449462890625 46.0 1431.0 1.0897463347861662 920.4721109191876
2423.863037109375 2114.780517578125 275.4237060546875 47.0 1451.0 0.905840627723419 438.82599650953887
2498.19921875 2392.672119140625 305.43609619140625 48.0 1469.0 0.9952261916561356 633.25092645049
1941.4378662109375 1544.76025390625 253.3542022705078 49.0 1477.0 0.9906356685395501 819.7523377333862
1481.4005126953125 1226.00537109375 235.08444213867188 50.0 1487.0 0.6367114391895554 624.0877174303622
2140.320068359375 1726.906005859375 259.81036376953125 51.0 1500.0 0.8653315930195844 1353.3797070192577
1817.218017578125 1548.455322265625 246.66351318359375 52.0 1519.0 0.8225514290843822 1240.1163059908936
1578.7767333984375 1236.00390625 224.1469268798828 53.0 1531.0 0.594587236795502 181.93852532208288
2053.15966796875 1588.66650390625 250.82347106933594 54.0 1550.0 0.8402820164739893 1713.2070597442575
1466.40283203125 1062.44384765625 222.16177368164062 55.0 1561.0 0.48282451497840945 1834.5187587611092
2127.71337890625 1709.1912841796875 263.8656921386719 56.0 1580.0 1.3359505235833928 885.4529296189579
1283.93115234375 894.53515625 209.36289978027344 57.0 1586.0 0.7278985527968402 790.8706268009041
1100.3726806640625 928.8775634765625 201.04331970214844 58.0 1596.0 0.6761958186602675 462.7101331105504
1807.2196044921875 1536.8267822265625 261.1769104003906 59.0 1615.0 1.079226303237208 746.7709597638759
1399.1307373046875 1244.6981201171875 230.31556701660156 60.0 1621.0 0.3411225460993699 2112.9747217045765
1168.84033203125 641.85693359375 193.33352661132812 61.0 1632.0 0.4591922161348907 1531.9520313930093
1567.8001708984375 1236.98193359375 241.93832397460938 62.0 1655.0 0.6296260136500033 356.2774626451346
1824.8255615234375 1517.2645263671875 246.57632446289062 63.0 1668.0 0.916316049573942 567.3255073036414
1685.0645751953125 1280.3448486328125 234.5853729248047 64.0 1676.0 1.1760461583554171 797.8989476647462
1668.328125 1588.8839111328125 253.5266571044922 65.0 1682.0 0.25021212074757293 2962.9353955731303
1740.4908447265625 1359.897705078125 237.2607421875 66.0 1693.0 0.6900046669309942 971.4304088207125
1719.5157470703125 1372.395751953125 244.27320861816406 67.0 1708.0 0.8112859207511092 402.51865641277925
1479.8790283203125 1021.9066772460938 219.0201416015625 68.0 1718.0 0.6965587058012823 804.6594479727742
1532.5882568359375 1233.069580078125 252.7235565185547 69.0 1738.0 0.41336249328024577 1573.8681506842622
906.1637573242188 658.2674560546875 187.2482147216797 70.0 1754.0 0.9725307031607969 589.9022300600352
1510.7437744140625 1522.3724365234375 265.06097412109375 71.0 1775.0 0.27621423362054437 2577.1987523974108
1472.05419921875 972.457763671875 208.92404174804688 72.0 1783.0 0.5068838615741564 1247.7710901428275
1483.682861328125 1144.8223876953125 228.03445434570312 73.0 1798.0 0.328869883802396 1867.5614436157257
1551.17236328125 1388.5888671875 248.59422302246094 74.0 1818.0 0.7647008000025763 664.0073163990542
1309.470703125 722.2792358398438 198.1548614501953 75.0 1834.0 0.6144642256599346 1089.1165691507058
1110.262451171875 785.3129272460938 198.29446411132812 76.0 1854.0 0.7380946909995707 512.930132493891
1334.0321044921875 962.5680541992188 205.7019500732422 77.0 1861.0 0.09498738878979468 2554.0257895562418
789.7687377929688 471.2312316894531 163.00924682617188 78.0 1870.0 0.3019970480525273 1273.4100841667266
1454.556884765625 1126.02099609375 227.2686309814453 79.0 1889.0 0.508123623973705 1156.731954215148
938.006591796875 684.1329956054688 187.72389221191406 80.0 1900.0 0.7097974273370322 530.5565377080575
1192.4237060546875 904.0988159179688 210.14076232910156 81.0 1916.0 1.0529580649313481 932.2828810822531
1395.4356689453125 1048.6416015625 225.9359893798828 82.0 1922.0 0.3175570726918767 2156.7841761921804
1274.5848388671875 876.3857421875 210.5004119873047 83.0 1934.0 0.9562892983681668 1807.6487079813296
1185.576904296875 795.74609375 194.75994873046875 84.0 1945.0 0.6225509801577648 848.551778068553
1051.358642578125 756.6217041015625 207.08828735351562 85.0 1960.0 0.7191394572345996 354.9644323386239
1386.958740234375 1222.5277099609375 242.92764282226562 86.0 1971.0 0.47233649161195174 1443.2140654342013
1343.70458984375 1144.60498046875 231.91552734375 87.0 1982.0 0.9574293700026559 1186.8774281781168
1326.859375 1102.111572265625 221.76246643066406 88.0 1992.0 1.4986693063503875 647.0053050952273
